x,y,t,speed,throttle,brake
-767.0,-648.3,0.0,261.0,0.88,0.0
-768.0,-620.2,0.241,267.0,0.85,0.0
-767.4,-608.2,0.54,267.0,0.85,0.0
-765.9,-586.2,0.84,266.0,0.0,0.0
-764.0,-567.7,1.1,262.0,0.0,0.0
-763.2,-562.2,1.181,248.0,0.0,1.0
-761.2,-548.8,1.38,248.0,0.0,1.0
-756.6,-526.3,1.681,200.0,0.0,1.0
-754.0,-515.2,2.021,180.0,0.0,1.0
-750.2,-501.3,2.361,148.0,0.0,1.0
-747.6,-492.8,2.522,134.0,0.0,1.0
-743.4,-481.2,2.961,115.0,0.0,1.0
-741.7,-477.5,3.101,113.0,0.0,1.0
-738.9,-472.7,3.281,113.0,0.0,1.0
-735.5,-469.2,3.461,107.0,0.25,0.0
-724.3,-463.7,3.761,108.0,0.42,0.0
-717.0,-461.8,4.122,110.0,0.54,0.0
-710.4,-460.7,4.321,120.0,0.68,0.0
-704.8,-460.0,4.482,127.0,0.72,0.0
-690.4,-458.7,4.742,135.0,0.76,0.0
-682.7,-458.0,5.062,148.0,0.92,0.0
-660.8,-455.8,5.441,161.0,1.0,0.0
-650.4,-454.3,5.782,185.0,1.0,0.0
-642.8,-453.0,5.941,188.0,1.0,0.0
-630.3,-450.4,6.182,195.0,1.0,0.0
-619.0,-447.8,6.382,197.0,1.0,0.0
-602.3,-443.7,6.681,209.0,1.0,0.0
-585.1,-439.4,6.861,209.0,1.0,0.0
-559.9,-433.1,7.281,224.0,1.0,0.0
-534.5,-426.6,7.721,235.0,1.0,0.0
-513.9,-422.5,7.92,235.0,1.0,0.0
-502.1,-421.1,8.221,240.0,1.0,0.0
-471.2,-417.9,8.541,244.0,1.0,0.0
-462.8,-416.2,8.821,247.0,0.98,0.0
-443.4,-409.2,9.121,252.0,1.0,0.0
-428.5,-401.9,9.341,254.0,1.0,0.0
-415.5,-395.3,9.541,257.0,1.0,0.0
-394.5,-386.0,9.801,259.0,1.0,0.0
-379.6,-380.8,10.081,262.0,1.0,0.0
-367.0,-377.5,10.261,257.0,0.0,0.0
-347.4,-373.9,10.541,257.0,0.0,0.0
-336.4,-372.4,10.702,243.0,0.0,1.0
-325.6,-371.1,10.861,243.0,0.0,1.0
-307.2,-368.8,11.141,230.0,0.0,1.0
-286.9,-364.7,11.341,221.0,0.0,1.0
-268.5,-357.9,11.822,205.0,0.0,1.0
-256.3,-350.8,12.082,205.0,0.0,1.0
-249.9,-345.9,12.241,205.0,0.0,1.0
-237.0,-331.8,12.501,176.0,0.0,1.0
-235.0,-328.7,12.722,166.0,0.0,0.0
-228.6,-313.8,13.081,162.0,0.07,0.0
-227.7,-279.9,13.981,154.0,0.43,0.0
-233.1,-262.6,14.281,157.0,0.5,0.0
-238.8,-251.5,14.681,161.0,0.49,0.0
-242.6,-245.4,14.841,161.0,0.49,0.0
-247.3,-238.7,15.021,162.0,0.51,0.0
-255.6,-228.5,15.301,155.0,0.0,1.0
-263.9,-218.3,15.641,144.0,0.0,1.0
-269.2,-210.6,15.881,141.0,0.0,1.0
-272.6,-203.7,16.081,137.0,0.0,0.0
-274.1,-198.6,16.241,134.0,0.07,0.0
-274.8,-191.2,16.441,134.0,0.07,0.0
-273.4,-181.6,16.721,131.0,0.5,0.0
-271.2,-174.7,16.901,135.0,0.58,0.0
-268.9,-169.3,17.061,138.0,0.57,0.0
-263.9,-160.0,17.321,145.0,0.67,0.0
