x,y,t,speed,throttle,brake
-766.7,-652.4,0.0,257.0,0.99,0.0
-768.1,-623.7,0.441,259.0,0.99,0.0
-766.9,-600.2,0.82,265.0,0.99,0.0
-765.6,-582.7,1.061,262.0,0.0,0.0
-763.7,-565.6,1.261,256.0,0.0,0.0
-759.8,-541.3,1.66,235.0,0.0,0.0
-756.4,-525.1,1.861,212.0,0.0,1.0
-753.0,-511.5,2.219,174.0,0.0,1.0
-750.4,-502.0,2.44,159.0,0.0,1.0
-748.6,-495.7,2.599,139.0,0.0,1.0
-745.5,-486.6,2.859,139.0,0.0,1.0
-743.5,-481.4,3.02,124.0,0.0,1.0
-739.7,-473.9,3.28,118.0,0.0,0.0
-735.5,-469.1,3.5,118.0,0.0,0.0
-729.8,-465.7,3.72,111.0,0.2,0.0
-721.3,-462.8,3.919,113.0,0.44,0.0
-713.0,-461.1,4.26,119.0,0.72,0.0
-706.1,-460.1,4.46,127.0,0.84,0.0
-697.3,-459.3,4.7,146.0,0.99,0.0
-688.5,-458.5,4.92,146.0,0.99,0.0
-673.9,-457.2,5.12,155.0,1.0,0.0
-662.8,-456.1,5.5,169.0,0.99,0.0
-654.2,-454.9,5.68,169.0,0.99,0.0
-644.4,-453.3,5.881,179.0,0.99,0.0
-623.8,-448.9,6.22,192.0,0.99,0.0
-610.9,-445.8,6.52,199.0,0.99,0.0
-599.9,-443.1,6.721,205.0,0.99,0.0
-589.8,-440.6,6.9,212.0,0.99,0.0
-576.0,-437.2,7.14,216.0,0.99,0.0
-551.1,-430.8,7.44,222.0,0.98,0.0
-536.5,-427.1,7.801,224.0,0.99,0.0
-517.7,-423.1,8.101,231.0,0.99,0.0
-465.2,-416.7,8.9,246.0,0.99,0.0
-455.1,-413.9,9.059,246.0,0.99,0.0
-423.1,-399.1,9.42,249.0,1.0,0.0
-408.0,-391.7,9.8,251.0,0.99,0.0
-393.8,-385.7,10.02,253.0,0.98,0.0
-381.9,-381.6,10.199,253.0,0.98,0.0
-354.9,-375.1,10.459,251.0,0.62,0.0
-344.0,-373.4,10.759,247.0,0.74,0.0
-330.5,-371.7,10.96,247.0,0.74,0.0
-305.4,-368.5,11.28,236.0,0.0,1.0
-279.5,-362.4,11.68,225.0,0.0,1.0
-267.9,-357.6,12.0,206.0,0.0,1.0
-251.5,-347.2,12.24,198.0,0.0,1.0
-243.9,-340.3,12.56,191.0,0.0,1.0
-234.4,-327.8,12.88,181.0,0.0,1.0
-230.4,-319.3,13.08,169.0,0.0,1.0
-226.8,-305.1,13.32,163.0,0.0,1.0
-226.3,-291.0,13.72,152.0,0.27,0.0
-228.1,-277.8,13.94,152.0,0.27,0.0
-229.6,-272.1,14.18,149.0,0.57,0.0
-233.1,-262.6,14.421,156.0,0.73,0.0
-238.7,-251.7,14.701,156.0,0.73,0.0
-248.3,-237.4,14.981,161.0,0.71,0.0
-251.7,-233.1,15.201,162.0,0.63,0.0
-258.2,-225.4,15.42,159.0,0.3,0.0
-263.8,-218.4,15.619,159.0,0.0,1.0
-270.2,-208.8,15.899,141.0,0.0,1.0
-273.2,-201.9,16.1,138.0,0.0,1.0
-274.1,-184.8,16.439,135.0,0.0,0.0
-272.7,-179.0,16.739,130.0,0.52,0.0
-270.1,-171.9,16.94,137.0,0.65,0.0
-265.6,-162.8,17.2,141.0,0.76,0.0
-258.5,-151.7,17.38,147.0,0.8,0.0
-253.3,-144.8,17.7,155.0,0.91,0.0
-246.8,-137.1,17.92,161.0,0.94,0.0
