x,y,t,speed,throttle,brake
-766.1,-662.7,0.0,272.0,0.0,0.0
-767.0,-649.1,0.22,267.0,0.0,0.0
-768.1,-625.6,0.54,263.0,0.0,0.0
-767.1,-603.8,0.78,258.0,0.0,0.0
-766.2,-589.8,1.04,254.0,0.0,0.0
-764.8,-574.9,1.26,222.0,0.0,1.0
-762.3,-555.3,1.58,200.0,0.0,1.0
-759.3,-538.5,1.8,183.0,0.0,1.0
-757.3,-529.4,2.1,159.0,0.0,1.0
-754.6,-517.8,2.38,135.0,0.0,1.0
-752.0,-507.6,2.66,127.0,0.0,1.0
-749.2,-497.7,2.819,127.0,0.0,1.0
-747.1,-491.0,3.179,111.0,0.0,1.0
-743.8,-482.0,3.499,105.0,0.01,0.0
-740.6,-475.4,3.7,105.0,0.01,0.0
-735.8,-469.4,4.059,101.0,0.18,0.0
-731.8,-466.7,4.24,102.0,0.36,0.0
-721.7,-462.9,4.54,110.0,0.6,0.0
-714.2,-461.3,4.839,112.0,0.69,0.0
-694.5,-458.7,5.1,121.0,0.76,0.0
-685.9,-458.2,5.34,121.0,0.82,0.0
-682.2,-457.9,5.439,136.0,0.87,0.0
-669.7,-456.8,5.759,140.0,0.9,0.0
-661.2,-455.8,5.96,157.0,1.0,0.0
-654.2,-454.9,6.119,157.0,1.0,0.0
-606.5,-444.7,7.08,197.0,1.0,0.0
-593.4,-441.4,7.32,207.0,1.0,0.0
-584.4,-439.2,7.479,207.0,1.0,0.0
-571.7,-436.1,7.699,215.0,1.0,0.0
-556.3,-432.1,7.92,222.0,1.0,0.0
-533.6,-426.3,8.299,229.0,1.0,0.0
-512.1,-422.2,8.5,233.0,1.0,0.0
-489.5,-420.0,8.94,243.0,1.0,0.0
-469.4,-417.6,9.28,246.0,1.0,0.0
-461.6,-415.9,9.4,246.0,1.0,0.0
-443.4,-409.2,9.679,254.0,1.0,0.0
-421.2,-398.1,9.919,254.0,1.0,0.0
-398.8,-387.7,10.359,259.0,1.0,0.0
-386.6,-383.1,10.539,262.0,0.0,0.0
-374.3,-379.3,10.719,262.0,0.0,0.0
-346.8,-373.8,10.979,257.0,0.0,0.0
-330.8,-371.7,11.36,243.0,0.0,1.0
-320.4,-370.5,11.519,232.0,0.0,1.0
-304.5,-368.4,11.779,217.0,0.0,1.0
-285.6,-364.3,11.979,213.0,0.0,1.0
-272.5,-359.7,12.379,185.0,0.0,1.0
-268.7,-357.9,12.46,185.0,0.0,1.0
