x,y,t,speed,throttle,brake
-767.5,-638.9,0.0,275.0,1.0,0.0
-767.9,-619.0,0.398,280.0,1.0,0.0
-767.0,-601.8,0.618,281.0,0.98,1.0
-766.6,-595.5,0.698,281.0,0.98,1.0
-763.7,-565.1,0.998,278.0,0.05,1.0
-759.0,-536.9,1.458,225.0,0.0,1.0
-755.2,-520.0,1.818,194.0,0.0,1.0
-751.1,-504.2,2.078,164.0,0.0,1.0
-748.3,-494.7,2.399,148.0,0.0,1.0
-746.5,-489.1,2.559,124.0,0.0,1.0
-744.1,-482.7,2.759,122.0,0.0,1.0
-740.8,-475.7,2.999,112.0,0.0,1.0
-734.6,-468.4,3.239,112.0,0.0,1.0
-721.4,-462.8,3.698,106.0,0.05,0.0
-716.7,-461.8,3.978,106.0,0.42,0.0
-704.9,-460.0,4.219,112.0,0.51,0.0
-694.7,-459.0,4.599,117.0,0.69,0.0
-686.5,-458.4,4.819,137.0,1.0,0.0
-674.7,-457.3,5.12,148.0,1.0,0.0
-667.1,-456.5,5.299,158.0,1.0,0.0
-657.2,-455.3,5.519,163.0,1.0,0.0
-646.8,-453.7,5.739,175.0,1.0,0.0
-639.2,-452.3,5.899,185.0,1.0,0.0
-627.1,-449.7,6.139,194.0,1.0,0.0
-618.7,-447.7,6.299,194.0,1.0,0.0
-604.8,-444.3,6.559,200.0,1.0,0.0
-600.4,-443.2,6.639,209.0,1.0,0.0
-575.4,-437.0,6.938,211.0,1.0,0.0
-560.0,-433.1,7.339,219.0,1.0,0.0
-545.5,-429.3,7.579,226.0,1.0,0.0
-538.5,-427.5,7.698,231.0,1.0,0.0
-522.5,-424.0,7.958,237.0,0.98,0.0
-510.8,-422.0,8.139,237.0,0.98,0.0
-492.1,-420.2,8.419,244.0,1.0,0.0
-481.2,-419.2,8.578,244.0,1.0,0.0
-461.4,-415.8,8.878,250.0,1.0,0.0
-445.9,-410.3,9.059,252.0,1.0,0.0
-430.2,-402.8,9.359,254.0,1.0,0.0
-417.3,-396.1,9.559,258.0,1.0,0.0
-402.9,-389.4,9.779,260.0,1.0,0.0
-383.9,-382.2,10.059,264.0,1.0,0.0
-365.6,-377.2,10.238,266.0,0.94,0.0
-337.3,-372.5,10.699,263.0,0.0,1.0
-328.7,-371.5,10.819,263.0,0.0,1.0
-314.8,-369.8,11.019,251.0,0.0,1.0
-300.2,-367.7,11.239,229.0,0.0,1.0
-279.2,-362.3,11.499,217.0,0.0,1.0
-269.8,-358.5,11.779,200.0,0.0,1.0
-259.2,-352.7,11.999,200.0,0.0,1.0
-250.0,-345.9,12.22,179.0,0.0,1.0
