x,y,t,speed,throttle,brake
-766.7,-653.6,0.0,261.0,1.0,0.0
-767.0,-649.3,0.06,261.0,1.0,0.0
-767.8,-634.8,0.26,262.0,1.0,0.0
-767.7,-613.0,0.56,262.0,1.0,0.0
-766.6,-595.5,0.8,263.0,1.0,0.0
-765.4,-580.9,1.001,265.0,1.0,0.0
-764.9,-575.0,1.08,265.0,1.0,0.0
-759.9,-541.7,1.42,250.0,0.0,1.0
-758.1,-532.7,1.7,237.0,0.0,1.0
-755.0,-519.0,1.96,187.0,0.0,1.0
-753.6,-513.4,2.081,187.0,0.0,1.0
-749.7,-499.2,2.421,134.0,0.0,1.0
-747.3,-491.5,2.641,123.0,0.0,1.0
-745.3,-485.9,2.82,123.0,0.0,1.0
-743.1,-480.5,3.0,112.0,0.01,0.0
-741.6,-477.2,3.12,112.0,0.01,0.0
-738.6,-472.3,3.32,108.0,0.02,0.0
-731.9,-466.7,3.64,107.0,0.14,0.0
-726.3,-464.3,3.841,105.0,0.51,0.0
-720.1,-462.5,4.041,105.0,0.51,0.0
-708.9,-460.5,4.301,117.0,0.75,0.0
-700.1,-459.5,4.641,135.0,1.0,0.0
-686.8,-458.3,4.92,145.0,1.0,0.0
-678.4,-457.6,5.12,153.0,1.0,0.0
-667.0,-456.5,5.24,153.0,1.0,0.0
-652.9,-454.7,5.68,170.0,1.0,0.0
-636.9,-451.8,5.9,184.0,1.0,0.0
-618.1,-447.5,6.36,195.0,1.0,0.0
-607.4,-444.9,6.56,201.0,1.0,0.0
-597.4,-442.4,6.74,207.0,1.0,0.0
-587.8,-440.1,6.9,209.0,1.0,0.0
-579.1,-437.9,7.06,215.0,1.0,0.0
-562.7,-433.8,7.34,221.0,1.0,0.0
-550.7,-430.6,7.541,224.0,1.0,0.0
-539.8,-427.8,7.72,227.0,1.0,0.0
-527.4,-424.9,7.92,232.0,1.0,0.0
-517.2,-423.0,8.081,236.0,1.0,0.0
-488.2,-419.9,8.42,236.0,1.0,0.0
-463.1,-416.2,8.84,246.0,1.0,0.0
-447.7,-411.1,9.141,248.0,1.0,0.0
-436.2,-405.7,9.32,248.0,1.0,0.0
-408.1,-391.7,9.64,253.0,1.0,0.0
-388.3,-383.7,10.061,258.0,1.0,0.0
-376.1,-379.8,10.241,257.0,1.0,0.0
-359.5,-375.9,10.48,258.0,1.0,0.0
-335.3,-372.2,10.66,257.0,1.0,0.0
-317.0,-370.1,11.061,247.0,0.04,1.0
-293.4,-366.3,11.321,232.0,0.0,1.0
-280.3,-362.7,11.64,223.0,0.0,1.0
-267.3,-357.3,11.88,209.0,0.0,1.0
-256.8,-351.1,12.099,209.0,0.0,1.0
-243.4,-339.7,12.379,184.0,0.0,1.0
-234.3,-327.5,12.76,172.0,0.0,1.0
-230.8,-320.1,12.94,166.0,0.0,1.0
-229.0,-315.0,13.06,157.0,0.0,1.0
-227.0,-305.6,13.28,157.0,0.0,1.0
-226.4,-293.0,13.58,148.0,0.0,1.0
-226.7,-286.7,13.86,146.0,0.55,0.0
-228.7,-275.5,14.14,149.0,0.57,0.0
-233.4,-262.2,14.4,148.0,0.67,0.0
-237.6,-253.7,14.7,154.0,0.68,0.0
-243.1,-244.7,14.94,160.0,0.74,0.0
-251.3,-233.7,15.24,160.0,0.74,0.0
-256.6,-227.4,15.421,163.0,0.0,1.0
-264.7,-217.3,15.64,151.0,0.0,1.0
-270.4,-208.5,15.981,144.0,0.0,1.0
-273.9,-199.5,16.241,137.0,0.31,0.0
-274.6,-195.9,16.34,137.0,0.31,0.0
-274.7,-188.6,16.541,135.0,0.62,0.0
-270.2,-172.2,16.881,139.0,0.62,0.0
-263.7,-159.6,17.28,146.0,0.76,0.0
-261.4,-155.8,17.361,150.0,0.76,0.0
-256.9,-149.5,17.54,150.0,0.76,0.0
-242.8,-132.7,17.901,163.0,0.95,0.0
-232.9,-121.8,18.32,177.0,1.0,0.0
-222.1,-109.0,18.54,186.0,1.0,0.0
-213.1,-96.6,18.919,195.0,1.0,0.0
-206.9,-87.4,19.14,205.0,1.0,0.0
-204.3,-83.6,19.22,205.0,1.0,0.0
-193.1,-67.6,19.5,206.0,0.0,1.0
-187.3,-59.9,19.68,186.0,0.0,1.0
-180.0,-50.7,19.92,162.0,0.0,1.0
-174.4,-43.9,20.12,162.0,0.0,1.0
-169.8,-38.6,20.301,136.0,0.0,1.0
-165.5,-33.8,20.48,136.0,0.0,1.0
-159.8,-27.8,20.74,117.0,0.0,1.0
-152.1,-21.7,21.0,100.0,0.0,1.0
-146.3,-19.8,21.36,89.0,0.0,1.0
-139.5,-20.5,21.64,84.0,0.0,1.0
-133.9,-23.1,21.84,81.0,0.0,1.0
-128.4,-27.9,22.261,74.0,0.0,0.0
-126.1,-31.0,22.44,74.0,0.0,0.0
-121.1,-46.0,23.2,86.0,0.61,0.0
-120.6,-47.9,23.281,86.0,0.61,0.0
-117.7,-58.4,23.621,107.0,0.77,0.0
-113.8,-70.1,24.06,117.0,1.0,0.0
-111.5,-76.1,24.241,141.0,1.0,0.0
-107.4,-85.3,24.461,141.0,1.0,0.0
-97.8,-101.6,24.859,117.0,0.0,1.0
-92.5,-107.6,25.3,96.0,0.0,1.0
-90.7,-109.1,25.4,96.0,0.0,1.0
-87.7,-111.1,25.56,75.0,0.0,1.0
-80.1,-113.3,25.9,69.0,0.0,1.0
-77.3,-112.7,26.18,65.0,0.0,1.0
-73.9,-109.5,26.5,59.0,0.0,1.0
-73.1,-106.9,26.68,53.0,0.0,0.0
-73.0,-104.5,26.841,53.0,0.0,0.0
-73.6,-100.5,27.121,51.0,0.0,0.0
-74.5,-97.4,27.361,47.0,0.0,0.0
-75.2,-95.7,27.5,45.0,0.01,0.0
-76.1,-93.8,27.661,45.0,0.01,0.0
-78.4,-90.0,27.921,45.0,0.1,0.0
-81.4,-86.0,28.38,51.0,0.21,0.0
-84.5,-82.5,28.541,52.0,0.28,0.0
-86.8,-80.0,28.88,59.0,0.41,0.0
-90.6,-76.1,29.16,71.0,0.53,0.0
-93.1,-73.6,29.4,84.0,0.61,0.0
-98.7,-66.7,29.821,96.0,0.31,0.0
-102.1,-59.6,30.161,88.0,0.0,1.0
-102.6,-57.3,30.26,88.0,0.0,1.0
-102.7,-51.3,30.521,88.0,0.0,1.0
-99.7,-43.4,30.801,82.0,0.0,1.0
-97.2,-40.3,31.081,80.0,0.0,0.0
-92.0,-35.7,31.38,78.0,0.24,0.0
-89.2,-33.8,31.54,83.0,0.42,0.0
-83.0,-30.3,31.84,89.0,0.51,0.0
-80.0,-28.8,32.0,89.0,0.51,0.0
-75.2,-26.6,32.2,95.0,0.68,0.0
-70.3,-24.6,32.38,114.0,0.8,0.0
-63.6,-21.9,32.6,114.0,0.8,0.0
-57.1,-19.7,32.82,121.0,0.0,1.0
-48.2,-17.6,33.04,115.0,0.0,1.0
-39.1,-16.8,33.46,93.0,0.0,1.0
-31.5,-18.7,33.661,88.0,0.0,0.0
-28.5,-20.9,33.96,84.0,0.0,0.0
-25.9,-24.0,34.14,84.0,0.0,0.0
-22.5,-30.7,34.461,82.0,0.0,0.0
-20.1,-38.9,34.7,79.0,0.29,0.0
-18.9,-47.5,35.12,87.0,0.44,0.0
-18.6,-54.2,35.541,104.0,0.73,0.0
-18.6,-64.5,35.76,113.0,0.86,0.0
-18.9,-70.6,36.06,128.0,1.0,0.0
-19.6,-77.9,36.26,140.0,1.0,0.0
-20.2,-83.4,36.401,140.0,1.0,0.0
-22.8,-107.1,36.8,159.0,1.0,0.0
-24.6,-123.7,37.181,176.0,1.0,0.0
-25.8,-134.1,37.481,190.0,1.0,0.0
-26.7,-143.1,37.64,190.0,1.0,0.0
-28.5,-159.0,37.939,203.0,1.0,0.0
-30.0,-169.1,38.12,203.0,1.0,0.0
-33.1,-182.8,38.36,213.0,1.0,0.0
-36.7,-195.7,38.58,222.0,1.0,0.0
-39.8,-205.1,38.74,222.0,1.0,0.0
