x,y,t,speed,throttle,brake
-766.7,-653.0,0.0,265.0,1.0,0.0
-768.0,-629.9,0.3,270.0,1.0,0.0
-768.0,-621.0,0.419,270.0,1.0,0.0
-767.2,-605.0,0.639,273.0,0.73,0.0
-765.8,-585.5,0.9,266.0,0.0,0.0
-763.8,-566.5,1.16,266.0,0.0,0.0
-761.8,-552.4,1.359,232.0,0.0,1.0
-760.6,-545.7,1.48,232.0,0.0,1.0
-756.6,-526.0,1.74,199.0,0.0,1.0
-752.8,-510.5,2.18,162.0,0.0,1.0
-751.1,-504.5,2.32,140.0,0.0,1.0
-749.0,-497.2,2.52,140.0,0.0,1.0
-736.0,-469.6,3.518,107.0,0.2,0.0
-731.3,-466.4,3.719,107.0,0.44,0.0
-720.4,-462.6,3.939,107.0,0.44,0.0
-714.3,-461.3,4.279,110.0,0.69,0.0
-706.9,-460.2,4.499,135.0,0.99,0.0
-698.8,-459.4,4.699,135.0,0.99,0.0
-684.8,-458.2,4.939,141.0,1.0,0.0
-675.4,-457.4,5.219,165.0,1.0,0.0
-653.5,-454.8,5.579,165.0,1.0,0.0
-641.9,-452.8,5.919,192.0,1.0,0.0
-629.8,-450.3,6.139,195.0,1.0,0.0
-618.4,-447.6,6.359,195.0,1.0,0.0
-599.2,-442.9,6.56,210.0,1.0,0.0
-585.8,-439.6,6.919,216.0,1.0,0.0
-575.1,-436.9,7.1,220.0,1.0,0.0
-563.6,-434.0,7.299,229.0,1.0,0.0
-539.6,-427.8,7.66,235.0,1.0,0.0
-527.1,-424.9,7.839,235.0,1.0,0.0
-504.8,-421.3,8.039,239.0,1.0,0.0
-476.2,-418.6,8.48,247.0,1.0,0.0
-453.2,-413.3,8.8,249.0,1.0,0.0
-440.9,-408.1,9.14,256.0,1.0,0.0
-424.5,-399.8,9.38,257.0,1.0,0.0
-412.8,-393.9,9.56,259.0,0.98,0.0
-398.3,-387.5,9.779,262.0,1.0,0.0
-386.0,-382.9,9.96,262.0,1.0,0.0
-371.4,-378.6,10.179,262.0,1.0,0.0
-341.7,-373.1,10.479,267.0,0.67,0.0
-322.7,-370.8,10.839,262.0,0.0,0.0
-311.4,-369.4,10.999,246.0,0.0,1.0
-291.2,-365.8,11.319,238.0,0.0,1.0
-279.5,-362.5,11.519,229.0,0.0,1.0
-263.0,-355.0,11.719,202.0,0.0,1.0
-254.4,-349.4,12.019,192.0,0.0,1.0
-240.4,-336.4,12.399,175.0,0.0,1.0
-236.1,-330.6,12.54,175.0,0.0,1.0
-232.5,-324.1,12.699,172.0,0.02,1.0
-229.2,-315.9,12.899,167.0,0.08,0.0
-227.0,-306.0,13.12,165.0,0.17,0.0
-226.5,-301.3,13.319,159.0,0.23,0.0
-226.4,-290.5,13.579,156.0,0.41,0.0
-227.9,-279.0,13.819,156.0,0.56,0.0
-231.0,-268.0,14.119,160.0,0.67,0.0
-233.3,-262.2,14.259,160.0,0.67,0.0
-240.6,-248.5,14.599,162.0,0.64,0.0
-245.5,-241.2,14.78,165.0,0.63,0.0
-254.7,-229.5,15.0,166.0,0.0,1.0
-263.7,-218.6,15.419,150.0,0.0,1.0
-265.4,-216.3,15.499,147.0,0.0,1.0
-273.9,-199.3,15.88,140.0,0.0,1.0
-274.8,-192.6,16.18,133.0,0.38,0.0
-273.7,-182.9,16.46,134.0,0.6,0.0
-273.1,-180.7,16.52,134.0,0.6,0.0
-269.7,-171.0,16.779,137.0,0.62,0.0
-264.8,-161.6,17.059,141.0,0.6,0.0
-258.4,-151.6,17.319,151.0,0.8,0.0
-255.2,-147.2,17.459,151.0,0.8,0.0
-247.7,-138.2,17.719,161.0,0.93,0.0
-241.4,-131.1,17.939,169.0,1.0,0.0
-231.7,-120.4,18.139,169.0,1.0,0.0
-222.8,-109.9,18.499,192.0,0.98,0.0
-215.8,-100.5,18.719,192.0,0.98,0.0
-210.8,-93.2,18.899,200.0,1.0,0.0
-198.1,-74.5,19.179,207.0,0.08,0.0
-188.4,-61.3,19.559,190.0,0.0,1.0
-182.7,-54.1,19.739,171.0,0.0,1.0
-177.7,-48.0,19.92,171.0,0.0,1.0
-168.7,-37.3,20.2,142.0,0.0,1.0
-162.3,-30.3,20.579,115.0,0.0,1.0
-157.9,-26.1,20.78,106.0,0.0,1.0
-154.7,-23.4,20.939,98.0,0.0,1.0
-151.5,-21.4,21.099,93.0,0.0,1.0
