x,y,t,speed,throttle,brake
-767.1,-646.9,0.0,168.0,0.39,0.0
-768.0,-632.0,0.179,169.0,0.43,0.0
-767.9,-620.7,0.56,170.0,0.53,0.0
-767.2,-606.8,0.86,172.0,0.5,0.0
-766.4,-593.0,1.079,173.0,0.07,0.0
-765.4,-580.8,1.399,168.0,0.0,0.0
-763.5,-564.0,1.739,154.0,0.0,1.0
-762.3,-555.8,1.959,154.0,0.0,1.0
-759.3,-538.5,2.319,137.0,0.0,1.0
-757.2,-528.9,2.679,120.0,0.0,1.0
-755.2,-520.1,2.959,120.0,0.0,1.0
-753.7,-514.2,3.159,106.0,0.0,1.0
-751.4,-505.4,3.359,106.0,0.0,1.0
-750.1,-500.9,3.659,95.0,0.0,1.0
-748.1,-494.2,3.939,86.0,0.0,1.0
-745.0,-485.0,4.219,80.0,0.0,1.0
-742.0,-478.2,4.619,79.0,0.0,0.0
-740.3,-474.9,4.899,76.0,0.0,0.0
-737.2,-470.9,5.16,75.0,0.03,0.0
-734.5,-468.5,5.339,74.0,0.1,0.0
-727.3,-464.9,5.659,74.0,0.14,0.0
-718.2,-462.2,6.059,75.0,0.14,0.0
-714.2,-461.4,6.379,76.0,0.24,0.0
-704.8,-460.1,6.719,78.0,0.23,0.0
-698.5,-459.4,7.04,82.0,0.2,0.0
-692.4,-458.8,7.199,85.0,0.24,0.0
-687.7,-458.5,7.4,85.0,0.24,0.0
-680.0,-457.8,7.719,89.0,0.38,0.0
-674.3,-457.2,7.939,92.0,0.42,0.0
-669.7,-456.8,8.119,93.0,0.47,0.0
-665.2,-456.3,8.298,93.0,0.47,0.0
-659.5,-455.6,8.499,99.0,0.49,0.0
-656.7,-455.2,8.598,103.0,0.5,0.0
-650.9,-454.3,8.799,103.0,0.5,0.0
-641.8,-452.7,9.119,112.0,0.53,0.0
-634.7,-451.3,9.339,115.0,0.55,0.0
-629.0,-450.0,9.519,115.0,0.55,0.0
-625.1,-449.1,9.639,122.0,0.57,0.0
-615.4,-446.8,9.939,122.0,0.57,0.0
-606.9,-444.7,10.179,128.0,0.59,0.0
-594.0,-441.6,10.419,136.0,0.68,0.0
-585.0,-439.3,10.779,136.0,0.68,0.0
-576.0,-437.1,11.019,146.0,0.72,0.0
-567.1,-434.9,11.239,153.0,0.78,0.0
-554.0,-431.5,11.439,153.0,0.78,0.0
-546.6,-429.5,11.719,163.0,0.86,0.0
-537.1,-427.1,11.899,169.0,1.0,0.0
-525.6,-424.6,12.139,176.0,1.0,0.0
-513.7,-422.5,12.379,182.0,1.0,0.0
-499.5,-420.8,12.659,188.0,1.0,0.0
-493.6,-420.3,12.76,198.0,1.0,0.0
-477.0,-418.7,13.06,203.0,1.0,0.0
-460.0,-415.3,13.259,206.0,1.0,0.0
-447.5,-410.9,13.6,213.0,1.0,0.0
-438.6,-406.8,13.759,218.0,1.0,0.0
-427.0,-401.0,13.979,216.0,0.09,1.0
-414.7,-394.8,14.199,197.0,0.0,1.0
-399.9,-388.1,14.499,185.0,0.0,1.0
-395.2,-386.2,14.598,185.0,0.0,1.0
-379.1,-380.8,14.959,167.0,0.0,1.0
-368.4,-377.9,15.178,151.0,0.0,1.0
-360.0,-376.1,15.438,132.0,0.0,1.0
-346.5,-373.9,15.718,132.0,0.0,1.0
-336.9,-372.6,16.119,125.0,0.13,1.0
-323.4,-370.9,16.379,122.0,0.43,0.0
-309.4,-369.1,16.779,129.0,0.55,0.0
-304.3,-368.3,17.059,132.0,0.55,0.0
-290.1,-365.4,17.439,137.0,0.52,0.0
-272.5,-359.5,17.819,142.0,0.53,0.0
-265.8,-356.3,18.119,143.0,0.0,1.0
-258.8,-352.2,18.339,137.0,0.0,1.0
-252.8,-348.0,18.539,130.0,0.0,1.0
-245.0,-341.1,18.839,120.0,0.0,1.0
-239.4,-334.7,19.099,114.0,0.13,0.0
-234.9,-328.0,19.3,114.0,0.13,0.0
-231.5,-321.4,19.6,112.0,0.22,0.0
-229.1,-314.6,19.82,112.0,0.23,0.0
-227.3,-306.6,19.999,113.0,0.16,0.0
-226.3,-297.0,20.259,113.0,0.16,0.0
-226.5,-289.7,20.48,113.0,0.28,0.0
-227.5,-281.8,20.74,112.0,0.0,1.0
-229.0,-274.8,20.959,112.0,0.0,1.0
-230.8,-269.1,21.158,105.0,0.0,1.0
-234.8,-259.5,21.398,102.0,0.0,1.0
-237.9,-253.5,21.819,82.0,0.0,1.0
-241.0,-248.3,21.978,82.0,0.0,1.0
-243.0,-245.2,22.279,69.0,0.0,1.0
-246.7,-240.0,22.619,66.0,0.02,0.0
-247.1,-239.4,22.659,66.0,0.02,0.0
-249.7,-236.0,22.899,63.0,0.07,0.0
-254.9,-229.6,23.219,65.0,0.16,0.0
-257.5,-226.4,23.579,70.0,0.25,0.0
-259.5,-224.0,23.739,70.0,0.25,0.0
-262.9,-219.7,24.019,76.0,0.29,0.0
-267.3,-213.5,24.279,79.0,0.29,0.0
-271.2,-206.7,24.72,82.0,0.17,0.0
-272.4,-203.8,24.859,83.0,0.14,0.0
-273.5,-200.3,25.02,83.0,0.14,0.0
-274.3,-196.1,25.199,85.0,0.13,0.0
-274.5,-190.7,25.439,85.0,0.13,0.0
-272.8,-180.4,25.759,85.0,0.21,0.0
-272.0,-177.6,25.999,86.0,0.21,0.0
-269.0,-170.0,26.319,87.0,0.3,0.0
-267.2,-166.1,26.499,93.0,0.39,0.0
-262.6,-158.1,26.74,95.0,0.35,0.0
-259.5,-153.5,27.159,100.0,0.42,0.0
-255.5,-147.9,27.539,105.0,0.51,0.0
-252.6,-144.1,27.698,105.0,0.51,0.0
-244.8,-134.9,27.979,116.0,0.56,0.0
-240.7,-130.4,28.259,128.0,0.78,0.0
-233.8,-122.8,28.539,136.0,0.93,0.0
-224.4,-111.8,28.819,146.0,1.0,0.0
-218.5,-104.2,29.119,158.0,1.0,0.0
-213.8,-97.5,29.298,169.0,1.0,0.0
-207.6,-88.3,29.579,173.0,1.0,0.0
-204.8,-84.2,29.679,173.0,0.0,1.0
-191.2,-65.0,29.999,162.0,0.0,1.0
-187.7,-60.4,30.279,144.0,0.0,1.0
-181.5,-52.5,30.539,134.0,0.0,1.0
-175.0,-44.6,30.839,121.0,0.0,1.0
-168.4,-36.9,31.019,121.0,0.0,1.0
-162.5,-30.5,31.459,93.0,0.0,1.0
-158.6,-26.6,31.679,93.0,0.0,1.0
-156.8,-25.1,31.779,84.0,0.0,1.0
-151.8,-21.6,32.06,80.0,0.0,1.0
-148.5,-20.3,32.239,75.0,0.0,1.0
-141.9,-20.0,32.459,73.0,0.0,0.0
-135.0,-22.6,32.819,71.0,0.0,0.0
-131.6,-24.9,33.16,70.0,0.0,0.0
-128.3,-28.0,33.399,68.0,0.02,0.0
-126.1,-31.2,33.619,67.0,0.18,0.0
-124.6,-34.2,33.78,69.0,0.18,0.0
-123.2,-38.2,33.999,74.0,0.37,0.0
-121.1,-45.8,34.279,78.0,0.46,0.0
-120.0,-50.4,34.579,83.0,0.52,0.0
-118.6,-55.6,34.799,95.0,0.53,0.0
-116.6,-62.0,35.059,100.0,0.55,0.0
-113.8,-70.1,35.359,105.0,0.55,0.0
-111.4,-76.2,35.578,105.0,0.55,0.0
-109.3,-81.0,35.759,103.0,0.0,1.0
-106.5,-87.0,35.979,95.0,0.0,1.0
-103.4,-92.8,36.299,81.0,0.0,1.0
-99.1,-99.6,36.599,70.0,0.0,1.0
-95.8,-103.9,36.979,63.0,0.0,1.0
-93.0,-106.9,37.319,52.0,0.0,1.0
-90.2,-109.3,37.599,48.0,0.0,1.0
-89.8,-109.5,37.639,43.0,0.0,1.0
-85.4,-112.0,38.039,40.0,0.0,0.0
-83.1,-112.7,38.279,40.0,0.0,0.0
-81.2,-113.0,38.479,38.0,0.0,0.0
-76.9,-112.3,38.839,37.0,0.0,0.0
-75.2,-110.9,39.14,37.0,0.0,0.0
-73.4,-106.7,39.46,37.0,0.0,0.0
-73.3,-104.4,39.819,37.0,0.0,0.0
-73.5,-101.9,40.06,37.0,0.0,0.0
-73.8,-100.2,40.219,36.0,0.0,0.0
-74.3,-98.3,40.419,36.0,0.0,0.0
-75.2,-95.9,40.678,36.0,0.0,0.0
-75.7,-94.7,40.799,36.0,0.0,0.0
-76.4,-93.3,40.958,36.0,0.02,0.0
-77.5,-91.4,41.179,37.0,0.04,0.0
-79.1,-88.9,41.459,39.0,0.04,0.0
-81.2,-86.3,41.739,42.0,0.13,0.0
-83.0,-84.2,41.939,42.0,0.13,0.0
-84.8,-82.2,42.179,51.0,0.22,0.0
-87.7,-79.2,42.459,60.0,0.31,0.0
-89.4,-77.3,42.619,60.0,0.31,0.0
-92.1,-74.6,42.839,64.0,0.39,0.0
-90.8,-76.0,43.039,71.0,0.4,0.0
-93.5,-73.1,43.239,71.0,0.4,0.0
-96.5,-69.7,43.459,75.0,0.06,1.0
-99.2,-65.9,43.699,70.0,0.0,1.0
-102.2,-49.9,44.639,62.0,0.0,0.0
-101.7,-48.2,44.759,62.0,0.0,0.0
-98.8,-42.5,45.039,59.0,0.0,0.0
-97.1,-40.5,45.319,56.0,0.04,0.0
-93.1,-36.8,45.659,56.0,0.1,0.0
-92.6,-36.4,45.7,56.0,0.1,0.0
-87.0,-32.6,46.079,61.0,0.29,0.0
-83.2,-30.5,46.359,65.0,0.31,0.0
-80.4,-29.1,46.58,73.0,0.39,0.0
-77.6,-27.8,46.719,73.0,0.39,0.0
-69.3,-24.2,47.08,80.0,0.46,0.0
-62.5,-21.6,47.439,88.0,0.0,1.0
-57.2,-19.8,47.659,84.0,0.0,1.0
-55.2,-19.2,47.758,84.0,0.0,1.0
-46.3,-17.3,48.119,78.0,0.0,1.0
-41.5,-16.9,48.399,71.0,0.0,1.0
-37.7,-17.0,48.599,71.0,0.0,1.0
-33.9,-17.8,48.819,66.0,0.0,1.0
-29.6,-20.2,49.119,59.0,0.0,1.0
-26.8,-23.1,49.339,54.0,0.0,1.0
-24.7,-26.4,49.619,51.0,0.0,1.0
-22.5,-31.5,49.899,43.0,0.0,1.0
-21.7,-33.7,50.239,39.0,0.0,1.0
-20.8,-37.1,50.539,36.0,0.0,0.0
-20.1,-40.3,50.919,34.0,0.0,1.0
-19.8,-41.8,51.079,34.0,0.0,1.0
-19.4,-44.0,51.319,33.0,0.0,1.0
-19.1,-47.2,51.559,32.0,0.0,0.0
-19.1,-46.9,51.879,33.0,0.0,0.0
-18.9,-49.7,52.159,38.0,0.15,0.0
-18.7,-53.3,52.399,42.0,0.2,0.0
-18.6,-56.5,52.719,52.0,0.37,0.0
-18.6,-63.6,53.06,57.0,0.36,0.0
-18.8,-67.9,53.42,68.0,0.45,0.0
-19.0,-71.2,53.58,68.0,0.45,0.0
-19.4,-75.3,53.778,79.0,0.48,0.0
-20.2,-83.6,54.018,85.0,0.55,0.0
-20.9,-89.2,54.358,93.0,0.72,0.0
-21.8,-98.1,54.679,108.0,0.74,0.0
-22.6,-105.1,54.898,125.0,0.86,0.0
-22.9,-107.8,54.979,125.0,0.86,0.0
-24.5,-122.9,55.319,125.0,0.93,0.0
-26.0,-136.8,55.739,151.0,1.0,0.0
-26.5,-141.1,55.839,162.0,1.0,0.0
-27.6,-151.0,56.059,162.0,1.0,0.0
-29.6,-166.8,56.339,171.0,1.0,0.0
-32.9,-182.0,56.719,181.0,1.0,0.0
-37.7,-198.8,56.999,192.0,1.0,0.0
