x,y,t,speed,throttle,brake
-766.9,-649.8,0.0,263.0,0.0,0.0
-767.8,-635.3,0.2,263.0,0.0,0.0
-767.6,-612.5,0.38,257.0,0.0,0.0
-766.4,-592.9,0.8,251.0,0.0,0.0
-765.0,-576.6,1.04,242.0,0.0,1.0
-763.2,-561.4,1.28,235.0,0.0,1.0
-760.4,-544.2,1.48,220.0,0.0,1.0
-758.7,-535.8,1.741,191.0,0.0,1.0
-755.8,-522.3,2.021,173.0,0.0,1.0
-754.0,-515.1,2.18,166.0,0.0,1.0
-750.8,-503.0,2.481,142.0,0.0,1.0
-748.4,-495.1,2.7,127.0,0.0,1.0
-746.5,-489.1,2.88,127.0,0.0,1.0
-744.9,-484.7,3.02,116.0,0.0,1.0
-743.0,-480.1,3.179,116.0,0.0,1.0
-739.4,-473.5,3.44,109.0,0.0,0.0
-732.0,-466.8,3.68,106.0,0.0,0.0
-726.6,-464.4,4.019,102.0,0.0,0.0
-716.4,-461.7,4.26,102.0,0.58,0.0
-709.4,-460.6,4.619,105.0,0.63,0.0
-700.5,-459.6,4.899,118.0,0.78,0.0
-693.3,-458.9,5.04,118.0,0.78,0.0
-685.9,-458.3,5.24,133.0,0.83,0.0
-668.3,-456.6,5.56,150.0,1.0,0.0
-656.3,-455.2,5.98,159.0,1.0,0.0
-655.5,-455.0,5.999,167.0,1.0,0.0
-639.7,-452.3,6.34,176.0,1.0,0.0
-623.0,-448.7,6.58,186.0,0.0,1.0
-613.2,-446.3,6.88,174.0,0.0,1.0
-602.0,-443.5,7.121,174.0,0.0,1.0
-588.7,-440.3,7.421,164.0,0.0,1.0
-580.2,-438.2,7.62,158.0,0.0,1.0
-573.7,-436.5,7.78,146.0,0.0,1.0
-566.6,-434.7,7.961,146.0,0.0,1.0
-554.7,-431.7,8.201,137.0,0.0,1.0
-539.4,-427.7,8.6,129.0,0.0,1.0
-530.2,-425.6,9.0,114.0,0.0,1.0
-521.9,-423.9,9.341,114.0,0.0,1.0
-513.9,-422.5,9.62,102.0,0.0,1.0
-506.9,-421.7,9.88,94.0,0.0,1.0
-505.3,-421.5,9.94,94.0,0.0,1.0
-500.3,-421.0,10.14,92.0,0.0,1.0
-490.5,-420.2,10.48,83.0,0.0,0.0
-483.8,-419.5,10.859,79.0,0.06,0.0
-480.6,-419.1,11.0,79.0,0.06,0.0
