x,y,t,speed,throttle,brake
-767.0,-647.7,0.0,267.0,1.0,0.0
-768.0,-629.7,0.3,270.0,1.0,0.0
-767.4,-608.6,0.58,272.0,1.0,0.0
-766.9,-601.0,0.679,272.0,1.0,0.0
-766.0,-587.4,0.86,273.0,1.0,0.0
-763.7,-565.2,1.16,268.0,0.03,1.0
-759.1,-537.7,1.42,249.0,0.0,1.0
-757.6,-530.5,1.68,224.0,0.0,1.0
-755.4,-520.9,1.859,224.0,0.0,1.0
-750.8,-503.2,2.26,140.0,0.0,1.0
-750.6,-502.4,2.28,140.0,0.0,1.0
-748.2,-494.4,2.5,140.0,0.0,1.0
-743.6,-481.5,2.899,121.0,0.0,1.0
-741.5,-476.9,3.059,116.0,0.02,0.0
-736.0,-469.5,3.279,113.0,0.08,0.0
-724.6,-463.7,3.659,110.0,0.39,0.0
-711.8,-460.9,4.099,119.0,0.81,0.0
-704.8,-460.0,4.399,127.0,0.83,0.0
-690.0,-458.7,4.699,131.0,0.87,0.0
-669.9,-456.8,5.119,159.0,0.99,0.0
-662.3,-456.0,5.419,173.0,1.0,0.0
-651.5,-454.5,5.639,184.0,0.99,0.0
-637.1,-451.9,5.919,191.0,0.99,0.0
-621.1,-448.3,6.159,204.0,0.99,0.0
-604.5,-444.2,6.519,212.0,0.99,0.0
-597.6,-442.5,6.639,212.0,0.99,0.0
-577.6,-437.6,6.979,225.0,0.99,0.0
-567.9,-435.1,7.14,225.0,0.99,0.0
-558.1,-432.6,7.299,227.0,1.0,0.0
-536.2,-427.0,7.579,239.0,0.99,0.0
-525.9,-424.7,7.74,239.0,0.99,0.0
-510.1,-422.0,7.98,239.0,0.99,0.0
-497.9,-420.7,8.159,248.0,1.0,0.0
-482.8,-419.4,8.379,248.0,1.0,0.0
-469.2,-417.5,8.58,251.0,0.99,0.0
-444.1,-409.5,8.86,257.0,0.99,0.0
-429.4,-402.3,9.178,259.0,1.0,0.0
-408.2,-391.8,9.498,262.0,1.0,0.0
-398.8,-387.7,9.639,264.0,1.0,0.0
-385.1,-382.6,9.839,264.0,1.0,0.0
-362.5,-376.5,10.099,265.0,1.0,0.0
-338.8,-372.8,10.499,264.0,0.38,1.0
-329.9,-371.7,10.639,253.0,0.07,1.0
-313.7,-369.7,10.878,239.0,0.07,1.0
-301.9,-368.0,11.059,239.0,0.01,1.0
-288.9,-365.3,11.279,216.0,0.01,1.0
-272.9,-359.9,11.579,202.0,0.0,1.0
-266.9,-357.1,11.7,202.0,0.0,1.0
-258.7,-352.4,11.879,188.0,0.03,1.0
-249.1,-345.2,12.119,176.0,0.03,1.0
-240.5,-336.4,12.379,176.0,0.03,1.0
-234.4,-327.6,12.619,163.0,0.08,1.0
-233.5,-326.1,12.659,163.0,0.08,1.0
-229.2,-315.6,12.919,155.0,0.12,0.0
-227.0,-306.0,13.1,154.0,0.27,0.0
-226.1,-292.9,13.38,154.0,0.27,0.0
-226.9,-284.4,13.579,151.0,0.53,0.0
-231.0,-267.9,13.88,153.0,0.58,0.0
-232.9,-263.1,14.099,153.0,0.58,0.0
-243.6,-244.0,14.46,158.0,0.62,0.0
-252.7,-231.9,14.8,160.0,0.0,1.0
-265.0,-216.9,15.3,151.0,0.0,1.0
-270.3,-208.6,15.66,135.0,0.0,0.0
-274.1,-198.7,15.879,133.0,0.09,0.0
-273.7,-183.2,16.359,129.0,0.37,0.0
-270.9,-174.1,16.659,131.0,0.69,0.0
-263.7,-159.7,16.979,140.0,0.79,0.0
-261.7,-156.5,17.219,140.0,0.79,0.0
-256.4,-149.0,17.479,148.0,0.83,0.0
-251.7,-142.9,17.659,163.0,0.98,0.0
-244.5,-134.6,17.899,163.0,0.98,0.0
-231.9,-120.7,18.219,188.0,1.0,0.0
-219.8,-106.0,18.639,192.0,0.99,0.0
-210.6,-92.9,18.839,198.0,0.99,0.0
-203.8,-82.8,19.179,207.0,0.94,0.0
-197.2,-73.2,19.38,191.0,0.0,1.0
-187.9,-60.8,19.64,184.0,0.0,1.0
-179.9,-50.6,19.859,145.0,0.0,1.0
-168.5,-37.2,20.259,145.0,0.0,1.0
-165.1,-33.3,20.539,119.0,0.0,1.0
-155.7,-24.2,20.859,95.0,0.0,1.0
-152.1,-21.8,21.179,89.0,0.0,1.0
-147.6,-20.0,21.399,85.0,0.0,1.0
-144.2,-19.8,21.56,78.0,0.0,1.0
-138.0,-21.1,21.86,76.0,0.0,1.0
-133.5,-23.5,22.1,75.0,0.0,0.0
-130.2,-26.0,22.298,74.0,0.14,0.0
-127.3,-29.4,22.518,74.0,0.35,0.0
-125.1,-33.1,22.719,78.0,0.45,0.0
-123.4,-37.3,22.919,80.0,0.55,0.0
-118.7,-55.0,23.619,107.0,0.72,0.0
-115.8,-64.5,23.799,115.0,0.72,0.0
-112.4,-73.8,24.22,135.0,0.83,0.0
-110.1,-79.4,24.379,135.0,0.83,0.0
-104.6,-90.8,24.719,129.0,0.0,1.0
-102.0,-95.4,24.879,111.0,0.0,1.0
-98.9,-100.1,25.159,93.0,0.0,1.0
-94.4,-105.6,25.539,78.0,0.0,1.0
-93.2,-106.8,25.62,78.0,0.0,1.0
-87.2,-111.3,25.979,72.0,0.0,1.0
-82.1,-113.1,26.319,60.0,0.0,1.0
-78.8,-113.1,26.539,56.0,0.0,1.0
-74.8,-110.8,26.819,52.0,0.0,0.0
-73.4,-107.9,27.119,48.0,0.0,0.0
-73.1,-105.7,27.28,46.0,0.0,0.0
-73.3,-102.0,27.56,45.0,0.01,0.0
-73.6,-100.5,27.679,45.0,0.01,0.0
-74.3,-98.1,27.88,47.0,0.24,0.0
-75.8,-94.3,28.18,50.0,0.23,0.0
-78.3,-90.0,28.38,54.0,0.35,0.0
-79.8,-87.9,28.68,59.0,0.47,0.0
-82.0,-85.2,28.88,65.0,0.5,0.0
-88.1,-78.5,29.239,75.0,0.61,0.0
-94.8,-71.6,29.679,92.0,0.39,0.0
-96.5,-69.7,29.779,93.0,0.0,1.0
-98.8,-66.5,29.939,93.0,0.0,1.0
-101.8,-60.6,30.219,86.0,0.0,1.0
-102.8,-55.3,30.458,84.0,0.0,1.0
-102.5,-50.4,30.679,82.0,0.01,0.0
-101.3,-46.6,30.859,82.0,0.01,0.0
-98.7,-42.0,31.099,81.0,0.15,0.0
-96.3,-39.3,31.259,80.0,0.35,0.0
-92.1,-35.8,31.499,82.0,0.5,0.0
-88.0,-33.1,31.699,88.0,0.52,0.0
-79.6,-28.6,31.939,93.0,0.62,0.0
-70.1,-24.5,32.359,110.0,0.81,0.0
-61.0,-21.0,32.539,115.0,0.59,1.0
-53.0,-18.6,32.919,118.0,0.01,1.0
-42.9,-16.9,33.159,109.0,0.0,1.0
-38.3,-16.9,33.459,97.0,0.0,1.0
-31.9,-18.5,33.739,90.0,0.01,1.0
-26.8,-22.8,34.04,82.0,0.03,0.0
-24.6,-26.3,34.219,80.0,0.07,0.0
-22.5,-30.9,34.439,80.0,0.27,0.0
-21.3,-34.3,34.6,80.0,0.27,0.0
-19.4,-43.1,34.84,84.0,0.45,0.0
-19.0,-46.5,35.12,90.0,0.63,0.0
-18.5,-56.3,35.4,99.0,0.69,0.0
-18.5,-61.6,35.719,121.0,0.86,0.0
-19.3,-75.2,36.059,125.0,0.94,0.0
-20.1,-82.4,36.319,130.0,0.94,0.0
-24.3,-120.3,37.159,180.0,1.0,0.0
-26.2,-138.2,37.399,192.0,1.0,0.0
-27.6,-150.4,37.719,203.0,0.97,0.0
-28.9,-161.9,37.919,212.0,1.0,0.0
-33.4,-184.1,38.179,212.0,1.0,0.0
-40.8,-208.1,38.599,223.0,0.99,0.0
-47.9,-227.8,39.019,239.0,0.99,0.0
-54.3,-244.0,39.2,239.0,0.99,0.0
-60.1,-257.8,39.5,243.0,1.0,0.0
-66.3,-271.7,39.719,251.0,1.0,0.0
-72.6,-284.2,39.919,252.0,1.0,0.0
-81.6,-299.2,40.119,256.0,1.0,0.0
-100.6,-321.9,40.479,260.0,1.0,0.0
-121.2,-338.2,40.88,264.0,1.0,0.0
-138.2,-347.8,41.039,267.0,1.0,0.0
-158.7,-357.6,41.44,272.0,1.0,0.0
-169.7,-362.8,41.599,274.0,1.0,0.0
-191.6,-373.7,41.92,277.0,1.0,0.0
-211.9,-384.1,42.098,277.0,1.0,0.0
-231.5,-393.7,42.479,281.0,1.0,0.0
-244.2,-399.7,42.759,280.0,1.0,0.0
-261.4,-407.1,42.958,281.0,1.0,0.0
-281.8,-414.9,43.279,280.0,0.29,0.0
-299.4,-420.7,43.518,280.0,0.03,1.0
-316.9,-425.4,43.759,269.0,0.0,1.0
-327.6,-427.7,43.919,246.0,0.0,1.0
-352.4,-431.7,44.199,222.0,0.0,1.0
-363.5,-433.0,44.559,183.0,0.0,1.0
-374.3,-434.1,44.799,165.0,0.0,1.0
-379.3,-434.6,44.92,151.0,0.0,1.0
-388.9,-435.7,45.18,128.0,0.0,1.0
-397.4,-436.7,45.439,118.0,0.0,1.0
-406.7,-438.6,45.639,102.0,0.0,1.0
-410.2,-439.8,45.939,95.0,0.0,1.0
-417.9,-447.0,46.239,86.0,0.0,1.0
-421.3,-453.3,46.679,78.0,0.0,1.0
-424.1,-457.6,46.799,74.0,0.0,1.0
-431.2,-463.3,47.299,65.0,0.01,0.0
-437.4,-464.8,47.68,64.0,0.03,0.0
-442.6,-465.0,48.06,69.0,0.43,0.0
-446.2,-464.7,48.24,69.0,0.43,0.0
-453.6,-463.3,48.439,81.0,0.62,0.0
-462.6,-461.1,48.938,107.0,0.79,0.0
-467.2,-460.3,49.099,107.0,0.79,0.0
-474.7,-459.9,49.339,116.0,0.82,0.0
-485.6,-460.9,49.559,125.0,0.8,0.0
-494.5,-462.2,49.778,145.0,0.98,0.0
-501.8,-463.4,49.959,145.0,0.98,0.0
-514.7,-465.3,50.139,151.0,1.0,0.0
-533.8,-468.0,50.519,174.0,1.0,0.0
-547.3,-469.7,50.919,191.0,1.0,0.0
-568.2,-472.2,51.18,197.0,0.99,0.0
-580.9,-473.6,51.519,213.0,1.0,0.0
-593.9,-475.0,51.74,217.0,0.99,0.0
-603.6,-475.9,51.899,217.0,0.99,0.0
-629.4,-478.1,52.26,223.0,0.4,1.0
-654.8,-479.8,52.659,192.0,0.01,1.0
-662.0,-480.9,52.939,176.0,0.05,1.0
-679.4,-489.1,53.279,161.0,0.19,1.0
-685.4,-494.4,53.579,155.0,0.5,0.0
-693.6,-503.8,53.859,157.0,0.77,0.0
-696.8,-508.2,53.98,157.0,0.77,0.0
-701.7,-515.8,54.18,162.0,0.88,0.0
-706.6,-525.0,54.399,173.0,0.99,0.0
-712.4,-539.2,54.72,184.0,1.0,0.0
-715.2,-548.3,54.899,191.0,1.0,0.0
-718.5,-563.7,55.159,203.0,0.98,0.0
-720.6,-578.6,55.319,203.0,0.98,0.0
-721.6,-590.4,55.619,214.0,0.64,0.0
-721.7,-613.9,56.018,212.0,0.69,0.0
-721.6,-615.0,56.038,212.0,0.69,0.0
-717.6,-632.1,56.359,213.0,0.75,0.0
-713.1,-639.2,56.519,213.0,0.75,0.0
-699.4,-656.0,56.858,215.0,0.85,0.0
-694.1,-669.6,56.979,215.0,0.85,0.0
-690.4,-681.4,57.299,222.0,0.85,0.0
-686.0,-697.0,57.559,226.0,0.88,0.0
-682.7,-710.4,57.779,226.0,0.88,0.0
-679.9,-724.3,58.019,227.0,0.27,1.0
-674.8,-783.3,59.219,137.0,0.0,1.0
-675.8,-789.9,59.559,122.0,0.01,1.0
-679.5,-796.5,59.819,116.0,0.04,1.0
-684.7,-801.0,60.019,113.0,0.05,1.0
-688.5,-806.7,60.24,110.0,0.24,0.0
-689.7,-813.1,60.46,106.0,0.34,0.0
-689.8,-818.0,60.619,106.0,0.34,0.0
-689.2,-824.8,60.839,110.0,0.7,0.0
-688.1,-831.9,61.06,127.0,0.82,0.0
-686.4,-839.3,61.28,127.0,0.82,0.0
-683.2,-850.0,61.499,132.0,0.91,0.0
-679.1,-860.8,61.859,147.0,1.0,0.0
-677.8,-864.0,61.939,166.0,1.0,0.0
-672.9,-874.0,62.179,166.0,1.0,0.0
-664.1,-888.4,62.519,183.0,0.98,0.0
