x,y,t,speed,throttle,brake
-767.0,-648.0,0.0,262.0,1.0,0.0
-768.1,-627.4,0.28,263.0,1.0,0.0
-767.6,-612.5,0.481,268.0,0.13,0.0
-766.5,-594.7,0.68,265.0,0.0,0.0
-764.9,-575.9,0.98,259.0,0.0,1.0
-761.0,-547.4,1.281,242.0,0.0,1.0
-755.6,-521.7,1.72,193.0,0.0,1.0
-754.2,-516.0,1.98,175.0,0.0,1.0
-749.9,-500.2,2.28,141.0,0.0,1.0
-746.9,-490.4,2.641,136.0,0.0,1.0
-743.9,-482.3,2.901,119.0,0.0,1.0
-739.9,-474.2,3.1,119.0,0.0,1.0
-731.6,-466.6,3.581,103.0,0.09,0.0
-724.5,-463.7,3.881,102.0,0.2,0.0
-682.1,-458.0,5.121,143.0,1.0,0.0
-675.7,-457.4,5.281,143.0,1.0,0.0
-664.2,-456.2,5.541,162.0,1.0,0.0
-656.8,-455.3,5.701,169.0,1.0,0.0
-648.2,-453.9,5.881,169.0,1.0,0.0
-642.3,-452.9,6.001,180.0,1.0,0.0
-621.6,-448.4,6.4,190.0,1.0,0.0
-613.0,-446.3,6.56,198.0,1.0,0.0
-604.2,-444.1,6.721,200.0,1.0,0.0
-594.7,-441.8,6.9,211.0,1.0,0.0
-586.1,-439.7,7.041,211.0,1.0,0.0
-566.2,-434.7,7.38,216.0,1.0,0.0
-548.2,-430.0,7.64,227.0,1.0,0.0
-531.6,-425.9,7.921,231.0,1.0,0.0
-514.0,-422.5,8.201,233.0,1.0,0.0
-486.0,-419.7,8.481,241.0,1.0,0.0
-464.8,-416.6,8.881,248.0,1.0,0.0
-451.9,-412.8,9.14,248.0,1.0,0.0
-440.2,-407.7,9.321,252.0,1.0,0.0
-409.2,-392.2,9.721,254.0,1.0,0.0
-397.3,-387.1,9.981,259.0,1.0,0.0
-375.5,-379.7,10.301,261.0,1.0,0.0
-357.0,-375.5,10.5,263.0,0.0,1.0
-341.2,-373.0,10.781,251.0,0.0,1.0
-325.8,-371.1,11.001,246.0,0.0,1.0
-307.8,-368.9,11.281,229.0,0.0,1.0
