x,y,t,speed,throttle,brake
-767.8,-634.8,0.0,267.0,1.0,0.0
-768.0,-621.4,0.179,267.0,1.0,0.0
-767.2,-604.9,0.398,270.0,1.0,0.0
-765.3,-579.3,0.738,272.0,0.0,0.0
-764.8,-574.9,0.799,267.0,0.0,0.0
-759.5,-539.9,1.158,264.0,0.0,1.0
-757.6,-530.4,1.458,221.0,0.0,1.0
-753.9,-514.8,1.738,196.0,0.0,1.0
-749.8,-499.7,1.939,177.0,0.0,1.0
-746.6,-489.5,2.338,135.0,0.0,1.0
-743.7,-481.9,2.559,135.0,0.0,1.0
-740.9,-475.8,2.759,122.0,0.0,1.0
-733.9,-467.9,2.979,115.0,0.0,0.0
-725.4,-464.0,3.418,111.0,0.38,0.0
-719.3,-462.3,3.619,110.0,0.58,0.0
-718.7,-462.1,3.639,110.0,0.58,0.0
-708.5,-460.4,3.959,119.0,0.75,0.0
-702.4,-459.8,4.139,119.0,0.75,0.0
-691.2,-458.7,4.399,136.0,1.0,0.0
-684.9,-458.2,4.559,151.0,1.0,0.0
-669.7,-456.8,4.799,155.0,1.0,0.0
-659.8,-455.7,5.139,171.0,1.0,0.0
-649.3,-454.1,5.359,179.0,1.0,0.0
-637.3,-451.9,5.599,190.0,1.0,0.0
-629.0,-450.1,5.759,190.0,1.0,0.0
-602.0,-443.6,6.119,202.0,1.0,0.0
-588.4,-440.2,6.5,210.0,1.0,0.0
-578.0,-437.7,6.679,217.0,1.0,0.0
-567.4,-435.0,6.858,220.0,1.0,0.0
-556.7,-432.2,7.039,220.0,1.0,0.0
-546.9,-429.7,7.198,233.0,1.0,0.0
-518.8,-423.3,7.478,233.0,1.0,0.0
-505.7,-421.4,7.818,239.0,1.0,0.0
-480.1,-419.1,8.159,245.0,1.0,0.0
-466.8,-417.1,8.399,251.0,1.0,0.0
-442.0,-408.6,8.779,254.0,1.0,0.0
-440.7,-408.0,8.799,254.0,1.0,0.0
-423.7,-399.4,9.059,256.0,1.0,0.0
-413.3,-394.2,9.219,260.0,1.0,0.0
-385.2,-382.7,9.599,263.0,1.0,0.0
-354.0,-374.9,9.939,264.0,1.0,0.0
-330.1,-371.7,10.419,257.0,0.0,0.0
-317.5,-370.2,10.599,253.0,0.0,0.0
-295.8,-366.9,10.779,248.0,0.0,1.0
-281.9,-363.3,11.139,226.0,0.0,1.0
-268.6,-358.0,11.379,212.0,0.0,1.0
-255.1,-349.9,11.659,199.0,0.0,1.0
-241.4,-337.5,11.879,180.0,0.0,1.0
-238.3,-333.8,12.119,180.0,0.0,1.0
-232.1,-323.3,12.379,173.0,0.0,1.0
-227.6,-309.5,12.699,162.0,0.0,0.0
-226.5,-301.9,12.799,159.0,0.07,0.0
-227.1,-283.5,13.259,153.0,0.65,0.0
-230.8,-268.5,13.738,155.0,0.67,0.0
-232.4,-264.4,13.839,157.0,0.74,0.0
-238.7,-251.6,14.159,159.0,0.8,0.0
-244.7,-242.3,14.318,166.0,0.57,0.0
-253.7,-230.7,14.719,161.0,0.0,1.0
-263.0,-219.5,14.959,150.0,0.0,1.0
-267.2,-213.7,15.239,141.0,0.0,1.0
-272.3,-204.4,15.519,135.0,0.16,0.0
-274.3,-197.5,15.719,135.0,0.16,0.0
-274.6,-188.3,15.978,130.0,0.59,0.0
-273.6,-182.4,16.139,133.0,0.65,0.0
-268.3,-168.1,16.399,135.0,0.69,0.0
-260.3,-154.3,16.899,148.0,0.8,0.0
-253.8,-145.4,17.099,155.0,0.96,0.0
-246.1,-136.4,17.419,163.0,1.0,0.0
-240.3,-129.9,17.599,178.0,1.0,0.0
-232.8,-121.7,17.819,183.0,1.0,0.0
-221.2,-107.9,18.119,195.0,1.0,0.0
-211.6,-94.4,18.46,208.0,1.0,0.0
-203.1,-81.8,18.74,213.0,0.0,1.0
-196.9,-72.9,18.899,213.0,0.0,1.0
-190.2,-63.7,19.059,195.0,0.0,1.0
-180.8,-51.7,19.359,168.0,0.0,1.0
-175.6,-45.5,19.54,152.0,0.0,1.0
-174.0,-43.5,19.6,152.0,0.0,1.0
-166.4,-34.8,19.899,137.0,0.0,1.0
-159.3,-27.3,20.159,105.0,0.0,1.0
-149.7,-20.6,20.518,100.0,0.0,1.0
-140.8,-20.1,20.979,90.0,0.0,1.0
-134.2,-22.9,21.338,84.0,0.0,0.0
-130.8,-25.3,21.519,81.0,0.0,0.0
-127.5,-28.9,21.739,81.0,0.09,0.0
-124.1,-35.5,21.979,81.0,0.3,0.0
-121.3,-45.0,22.419,83.0,0.6,0.0
-119.2,-53.4,22.859,97.0,0.75,0.0
