x,y,t,speed,throttle,brake
-767.4,-642.5,0.0,271.0,1.0,0.0
-768.1,-622.9,0.26,274.0,1.0,0.0
-767.2,-604.5,0.5,275.0,1.0,0.0
-766.3,-591.5,0.661,275.0,1.0,0.0
-765.9,-586.2,0.741,265.0,0.03,1.0
-764.5,-571.7,0.941,265.0,0.03,1.0
-762.5,-556.5,1.16,245.0,0.0,1.0
-760.0,-542.3,1.399,227.0,0.0,1.0
-757.5,-530.2,1.62,208.0,0.0,1.0
-752.1,-507.8,1.959,174.0,0.0,1.0
-750.5,-502.0,2.239,160.0,0.0,1.0
-747.0,-490.6,2.56,132.0,0.0,1.0
-744.5,-483.7,2.779,123.0,0.0,1.0
-743.6,-481.4,2.86,115.0,0.0,1.0
-739.2,-473.2,3.18,110.0,0.01,1.0
-734.3,-468.2,3.38,106.0,0.12,0.0
-725.9,-464.2,3.76,104.0,0.09,0.0
-716.2,-461.6,3.96,103.0,0.38,0.0
-703.5,-459.9,4.441,107.0,0.64,0.0
-695.5,-459.1,4.76,118.0,0.72,0.0
-683.9,-458.1,4.94,125.0,0.82,0.0
-674.4,-457.3,5.321,139.0,1.0,0.0
-663.2,-456.1,5.581,162.0,1.0,0.0
-657.9,-455.4,5.7,162.0,1.0,0.0
-639.2,-452.3,6.081,177.0,1.0,0.0
-623.6,-448.8,6.401,184.0,1.0,0.0
-608.4,-445.1,6.701,196.0,1.0,0.0
-590.8,-440.8,6.921,208.0,1.0,0.0
-567.9,-435.1,7.32,217.0,1.0,0.0
-552.5,-431.1,7.68,217.0,1.0,0.0
-536.5,-427.0,7.939,226.0,1.0,0.0
-526.6,-424.8,8.1,226.0,1.0,0.0
-510.7,-422.0,8.36,233.0,1.0,0.0
-493.0,-420.3,8.6,237.0,1.0,0.0
-468.4,-417.4,9.0,247.0,1.0,0.0
-453.7,-413.4,9.2,247.0,1.0,0.0
-440.8,-408.0,9.42,252.0,1.0,0.0
-417.1,-396.0,9.8,255.0,1.0,0.0
-413.2,-394.1,9.859,255.0,1.0,0.0
-396.3,-386.7,10.12,259.0,1.0,0.0
-380.1,-381.0,10.36,259.0,0.99,0.0
-362.1,-376.4,10.62,259.0,1.0,0.0
-359.2,-375.8,10.66,259.0,1.0,0.0
-337.3,-372.5,10.96,258.0,0.3,0.0
-326.0,-371.1,11.12,258.0,0.01,0.0
-314.9,-369.8,11.281,248.0,0.0,1.0
-286.0,-364.4,11.62,235.0,0.0,1.0
-272.9,-359.9,11.98,202.0,0.0,1.0
-259.4,-352.8,12.26,192.0,0.0,1.0
-250.3,-346.2,12.48,187.0,0.0,1.0
-243.2,-339.5,12.681,187.0,0.0,1.0
-238.3,-333.7,12.84,171.0,0.0,1.0
