x,y,t,speed,throttle,brake
-768.0,-631.7,0.0,270.0,0.99,0.0
-767.4,-609.1,0.28,270.0,0.99,0.0
-765.7,-584.8,0.62,274.0,0.99,0.0
-762.6,-557.9,0.84,270.0,0.01,1.0
-760.6,-545.5,1.159,229.0,0.0,1.0
-756.6,-526.2,1.479,184.0,0.0,1.0
-754.1,-515.9,1.68,184.0,0.0,1.0
-751.5,-505.8,1.9,164.0,0.0,1.0
-749.2,-497.6,2.099,148.0,0.0,1.0
-744.9,-484.8,2.359,140.0,0.0,1.0
-741.0,-476.1,2.74,123.0,0.0,1.0
-737.2,-470.7,2.959,117.0,0.0,0.0
-733.0,-467.3,3.139,117.0,0.0,0.0
-724.7,-463.7,3.34,113.0,0.35,0.0
-716.4,-461.7,3.679,117.0,0.42,0.0
-710.6,-460.7,3.86,119.0,0.69,0.0
-704.6,-460.0,4.039,119.0,0.69,0.0
-694.3,-459.0,4.299,136.0,0.99,0.0
-686.4,-458.4,4.5,142.0,0.99,0.0
-666.8,-456.5,4.819,157.0,0.99,0.0
-655.6,-455.1,5.2,178.0,1.0,0.0
-642.9,-453.0,5.46,186.0,1.0,0.0
-633.8,-451.2,5.64,192.0,0.99,0.0
-621.0,-448.3,5.88,198.0,0.99,0.0
-600.0,-443.1,6.12,204.0,0.99,0.0
-592.0,-441.1,6.4,210.0,0.99,0.0
-580.3,-438.2,6.6,218.0,0.99,0.0
-563.6,-434.0,6.88,225.0,1.0,0.0
-545.2,-429.2,7.1,233.0,0.99,0.0
-529.6,-425.4,7.4,236.0,0.99,0.0
-511.5,-422.1,7.679,241.0,0.99,0.0
-461.8,-415.9,8.419,251.0,0.99,0.0
-447.5,-411.0,8.639,255.0,0.99,0.0
-433.1,-404.2,8.859,255.0,0.99,0.0
-418.7,-396.8,9.079,258.0,0.99,0.0
-401.6,-388.9,9.34,260.0,0.99,0.0
-390.8,-384.6,9.499,263.0,0.99,0.0
-375.5,-379.7,9.719,265.0,0.99,0.0
-356.9,-375.4,9.979,266.0,0.97,0.0
-343.7,-373.4,10.16,266.0,0.97,0.0
-314.8,-369.8,10.46,259.0,0.05,1.0
-297.3,-367.2,10.819,235.0,0.02,1.0
-286.2,-364.5,11.0,226.0,0.01,1.0
-266.3,-356.8,11.28,220.0,0.01,1.0
-257.6,-351.6,11.54,208.0,0.01,1.0
-246.7,-343.1,11.8,187.0,0.01,1.0
-239.8,-335.7,12.0,182.0,0.0,1.0
-232.9,-325.0,12.26,176.0,0.0,1.0
-229.6,-317.0,12.44,169.0,0.0,0.0
-226.4,-301.4,12.64,169.0,0.0,0.0
-226.3,-291.4,13.1,159.0,0.01,0.0
-228.8,-275.2,13.34,157.0,0.41,0.0
