x,y,t,speed,throttle,brake
-766.7,-653.1,0.0,276.0,1.0,0.0
-768.0,-631.7,0.28,276.0,1.0,0.0
-767.4,-607.9,0.5,278.0,0.52,1.0
-766.5,-594.5,0.78,261.0,0.0,1.0
-765.4,-581.1,0.961,261.0,0.0,1.0
-763.8,-566.6,1.18,236.0,0.0,1.0
-761.4,-550.0,1.459,216.0,0.0,1.0
-758.5,-534.9,1.719,180.0,0.0,1.0
-758.1,-532.8,1.76,180.0,0.0,1.0
-755.1,-519.6,2.04,180.0,0.0,1.0
-750.3,-501.5,2.34,158.0,0.0,1.0
-748.0,-494.0,2.68,126.0,0.0,1.0
-746.4,-489.1,2.819,126.0,0.0,1.0
-744.1,-482.7,3.039,114.0,0.0,1.0
-740.3,-474.8,3.319,106.0,0.01,1.0
-736.8,-470.3,3.54,106.0,0.01,1.0
-731.8,-466.7,3.76,103.0,0.26,0.0
-721.7,-462.9,4.02,104.0,0.3,0.0
-713.0,-461.1,4.42,118.0,0.76,0.0
-705.0,-460.0,4.62,118.0,0.76,0.0
-686.8,-458.4,5.06,139.0,1.0,0.0
-676.2,-457.5,5.42,159.0,1.0,0.0
-669.0,-456.8,5.581,167.0,1.0,0.0
-655.5,-455.1,5.88,178.0,1.0,0.0
-654.0,-454.9,5.9,178.0,1.0,0.0
-639.5,-452.3,6.2,193.0,1.0,0.0
-624.3,-449.0,6.48,196.0,1.0,0.0
-605.6,-444.5,6.701,207.0,1.0,0.0
-592.0,-441.1,7.06,207.0,1.0,0.0
-573.9,-436.6,7.261,220.0,1.0,0.0
-559.5,-433.0,7.62,226.0,1.0,0.0
-537.4,-427.3,7.9,233.0,1.0,0.0
-515.4,-422.7,8.3,239.0,1.0,0.0
-504.9,-421.3,8.459,241.0,1.0,0.0
-489.4,-420.0,8.68,246.0,1.0,0.0
-466.7,-417.0,8.88,246.0,1.0,0.0
-453.1,-413.2,9.24,254.0,1.0,0.0
-437.3,-406.3,9.48,254.0,1.0,0.0
-421.6,-398.3,9.72,258.0,1.0,0.0
-412.5,-393.8,9.859,259.0,1.0,0.0
-385.8,-382.8,10.179,260.0,0.99,1.0
-369.7,-378.1,10.48,263.0,1.0,0.0
-346.9,-373.8,10.8,252.0,0.01,1.0
-342.7,-373.2,10.86,252.0,0.01,1.0
-328.1,-371.4,11.08,230.0,0.0,1.0
-314.8,-369.8,11.279,230.0,0.0,1.0
-293.4,-366.3,11.58,211.0,0.0,1.0
-282.4,-363.4,11.86,201.0,0.01,1.0
-268.1,-357.6,12.16,185.0,0.02,1.0
-259.9,-353.1,12.36,174.0,0.01,1.0
-253.3,-348.5,12.52,174.0,0.01,1.0
-242.0,-338.1,12.86,160.0,0.03,1.0
-238.4,-333.7,13.0,160.0,0.03,1.0
-233.6,-326.2,13.201,153.0,0.05,1.0
-228.5,-313.0,13.501,150.0,0.03,1.0
-226.3,-298.7,13.86,142.0,0.25,0.0
-226.2,-293.5,14.0,143.0,0.34,0.0
-227.5,-280.9,14.321,143.0,0.57,0.0
-229.0,-274.2,14.48,143.0,0.57,0.0
-231.5,-266.8,14.679,150.0,0.6,0.0
-234.2,-260.3,14.84,150.0,0.6,0.0
-243.1,-244.6,15.12,154.0,0.5,0.0
-249.0,-236.6,15.5,152.0,0.22,0.0
-256.3,-227.7,15.76,148.0,0.05,1.0
-260.8,-222.3,15.94,148.0,0.05,1.0
-267.1,-213.9,16.2,143.0,0.0,1.0
-271.6,-206.0,16.379,131.0,0.0,1.0
-273.7,-200.2,16.64,123.0,0.03,1.0
-274.7,-191.7,16.9,121.0,0.03,1.0
-272.7,-179.2,17.14,118.0,0.2,0.0
-267.8,-167.2,17.6,124.0,0.56,0.0
-262.5,-157.8,17.96,127.0,0.59,0.0
-258.4,-151.7,18.22,136.0,0.7,0.0
-254.4,-146.3,18.4,145.0,0.83,0.0
-250.0,-140.9,18.56,145.0,0.83,0.0
-242.0,-131.8,18.84,157.0,0.88,0.0
-237.9,-127.3,18.98,157.0,0.88,0.0
-224.8,-112.4,19.24,177.0,0.95,0.0
-218.3,-103.9,19.6,194.0,0.8,0.0
-212.7,-96.0,19.781,194.0,0.8,0.0
-202.9,-81.4,20.021,198.0,0.14,1.0
-194.6,-69.7,20.36,179.0,0.0,1.0
-187.6,-60.4,20.581,179.0,0.0,1.0
-181.3,-52.3,20.821,161.0,0.0,1.0
-176.0,-45.9,21.02,149.0,0.0,1.0
-165.5,-33.8,21.319,131.0,0.0,1.0
-158.9,-27.0,21.619,105.0,0.0,1.0
-154.5,-23.3,21.98,101.0,0.0,1.0
-147.2,-19.9,22.32,91.0,0.0,1.0
-135.2,-22.4,22.899,74.0,0.0,1.0
-131.5,-24.9,23.1,74.0,0.0,1.0
-127.8,-28.7,23.38,72.0,0.0,0.0
-126.1,-31.3,23.54,70.0,0.26,0.0
-124.3,-35.1,23.74,70.0,0.26,0.0
-122.4,-40.9,24.039,79.0,0.42,0.0
-120.7,-47.7,24.24,92.0,0.56,0.0
