x,y,t,speed,throttle,brake
-766.2,-660.4,0.0,265.0,1.0,0.0
-768.0,-630.5,0.26,270.0,0.99,0.0
-768.0,-621.5,0.52,272.0,1.0,0.0
-766.2,-591.0,0.84,272.0,1.0,0.0
-764.4,-571.4,1.18,275.0,0.45,0.0
-759.9,-541.8,1.48,242.0,0.0,1.0
-758.0,-532.5,1.78,208.0,0.0,1.0
-755.2,-520.1,2.021,187.0,0.0,1.0
-752.4,-509.0,2.261,169.0,0.0,1.0
-750.3,-501.6,2.44,152.0,0.0,1.0
-748.1,-494.1,2.64,145.0,0.0,1.0
-745.1,-485.4,2.9,127.0,0.0,1.0
-742.6,-479.3,3.101,116.0,0.0,0.0
-740.9,-475.9,3.22,116.0,0.0,0.0
-731.5,-466.6,3.56,111.0,0.29,0.0
-725.0,-463.9,3.901,111.0,0.29,0.0
-721.9,-462.9,4.001,115.0,0.68,0.0
-710.6,-460.7,4.34,127.0,0.93,0.0
-703.2,-459.8,4.54,138.0,0.99,0.0
-695.3,-459.1,4.74,147.0,0.99,0.0
-688.6,-458.6,4.899,147.0,0.99,0.0
-677.2,-457.6,5.159,161.0,0.99,0.0
-669.7,-456.8,5.32,167.0,0.99,0.0
-656.2,-455.2,5.6,170.0,0.99,0.0
-646.0,-453.6,5.8,189.0,0.99,0.0
-633.3,-451.1,6.039,202.0,0.99,0.0
-622.2,-448.6,6.24,202.0,0.99,0.0
-613.2,-446.4,6.4,206.0,0.99,0.0
-604.1,-444.1,6.559,211.0,0.99,0.0
-587.8,-440.1,6.839,211.0,0.99,0.0
-578.2,-437.7,7.0,211.0,0.99,0.0
-570.9,-435.9,7.12,229.0,1.0,0.0
-543.7,-428.9,7.46,233.0,0.99,0.0
-514.8,-422.6,7.8,240.0,0.99,0.0
-486.2,-419.7,8.261,248.0,0.99,0.0
-472.5,-418.1,8.56,251.0,0.99,0.0
-458.0,-414.9,8.78,252.0,0.99,0.0
-439.7,-407.5,9.061,254.0,0.99,0.0
-429.3,-402.3,9.22,254.0,0.99,0.0
-412.6,-393.8,9.48,254.0,0.99,0.0
-397.0,-387.0,9.72,256.0,0.99,0.0
-380.9,-381.3,9.961,258.0,1.0,0.0
-367.1,-377.5,10.161,258.0,1.0,0.0
-347.2,-373.9,10.32,260.0,0.83,0.0
-338.5,-372.7,10.58,258.0,0.14,0.0
-322.7,-370.8,10.84,250.0,0.05,1.0
-310.9,-369.3,11.021,239.0,0.01,1.0
-289.7,-365.5,11.36,227.0,0.0,1.0
-270.9,-359.0,11.58,219.0,0.0,1.0
-265.8,-356.5,11.8,210.0,0.0,1.0
-247.4,-343.7,12.16,193.0,0.0,1.0
-234.4,-327.8,12.539,180.0,0.0,0.0
-228.6,-313.7,12.96,175.0,0.01,0.0
-226.8,-304.7,13.16,168.0,0.03,0.0
-226.2,-292.4,13.44,160.0,0.1,0.0
-226.8,-285.3,13.6,160.0,0.1,0.0
-228.2,-277.6,13.78,157.0,0.46,0.0
-230.3,-269.9,13.96,157.0,0.46,0.0
-234.3,-260.0,14.2,159.0,0.53,0.0
-237.1,-254.4,14.34,159.0,0.53,0.0
-244.4,-242.8,14.64,163.0,0.43,0.0
-253.3,-231.3,14.86,164.0,0.17,1.0
-262.3,-220.3,15.28,149.0,0.01,1.0
-266.3,-215.0,15.44,149.0,0.01,1.0
-270.8,-207.6,15.66,144.0,0.01,0.0
-274.0,-199.2,15.901,142.0,0.01,0.0
-274.7,-193.4,16.06,142.0,0.01,0.0
-274.5,-187.5,16.22,137.0,0.37,0.0
-272.5,-178.6,16.461,138.0,0.61,0.0
-269.5,-170.5,16.681,138.0,0.61,0.0
-266.6,-164.8,16.84,141.0,0.74,0.0
-262.3,-157.3,17.001,141.0,0.74,0.0
-258.4,-151.6,17.16,158.0,0.99,0.0
-252.3,-143.5,17.38,158.0,0.99,0.0
-243.0,-132.9,17.66,173.0,1.0,0.0
-237.8,-127.2,17.82,188.0,1.0,0.0
-231.5,-120.2,17.999,194.0,0.99,0.0
-221.7,-108.5,18.279,202.0,0.96,0.0
-210.9,-93.3,18.539,202.0,0.96,0.0
-202.4,-80.7,18.88,215.0,0.1,0.0
-195.7,-71.1,19.04,204.0,0.01,1.0
-184.6,-56.5,19.359,195.0,0.0,1.0
-179.3,-49.9,19.54,170.0,0.0,1.0
-175.0,-44.7,19.7,144.0,0.0,1.0
-170.0,-38.8,19.899,128.0,0.0,1.0
-163.2,-31.2,20.199,117.0,0.0,1.0
-160.6,-28.6,20.32,117.0,0.0,1.0
-152.5,-22.0,20.58,103.0,0.0,1.0
-145.0,-19.7,21.041,92.0,0.0,1.0
-141.2,-20.1,21.2,87.0,0.0,1.0
-134.7,-22.6,21.4,84.0,0.0,0.0
-130.7,-25.5,21.72,80.0,0.0,0.0
-126.3,-30.8,22.04,77.0,0.16,0.0
-124.4,-34.7,22.24,79.0,0.32,0.0
-123.9,-35.9,22.3,79.0,0.32,0.0
-121.8,-43.1,22.62,88.0,0.51,0.0
-119.5,-52.1,22.9,98.0,0.63,0.0
-117.6,-58.8,23.221,107.0,0.69,0.0
-114.5,-68.4,23.501,127.0,0.87,0.0
-110.1,-79.5,23.861,138.0,0.94,0.0
-107.1,-85.9,24.041,138.0,0.94,0.0
-103.7,-92.4,24.22,132.0,0.0,1.0
-97.6,-101.9,24.42,132.0,0.0,1.0
-89.0,-110.3,24.9,89.0,0.0,1.0
-85.0,-112.4,25.26,77.0,0.0,1.0
-80.7,-113.3,25.5,71.0,0.0,1.0
-77.2,-112.7,25.72,62.0,0.0,1.0
-74.6,-110.7,25.94,58.0,0.0,0.0
-73.3,-107.9,26.14,58.0,0.0,0.0
-73.0,-105.4,26.3,54.0,0.0,0.0
-73.2,-102.0,26.52,54.0,0.0,0.0
-74.3,-98.0,26.78,51.0,0.02,0.0
-76.2,-93.5,27.16,49.0,0.06,0.0
-76.5,-93.0,27.2,45.0,0.16,0.0
-78.4,-89.9,27.48,48.0,0.17,0.0
-82.1,-85.1,27.8,53.0,0.25,0.0
-83.3,-83.7,28.02,56.0,0.3,0.0
-87.9,-78.9,28.401,64.0,0.41,0.0
-92.3,-74.4,28.6,75.0,0.55,0.0
-93.3,-73.3,29.0,97.0,0.3,0.0
-97.1,-68.8,29.221,97.0,0.3,0.0
-98.4,-67.1,29.3,97.0,0.0,1.0
-101.7,-60.8,29.58,94.0,0.0,1.0
-102.9,-55.2,29.821,89.0,0.0,1.0
-102.7,-51.4,29.98,88.0,0.0,0.0
-101.6,-47.4,30.16,82.0,0.0,0.0
-99.4,-43.0,30.381,81.0,0.11,0.0
-96.5,-39.5,30.581,81.0,0.11,0.0
-93.7,-37.0,30.74,83.0,0.3,0.0
-84.2,-31.0,31.099,87.0,0.39,0.0
-80.7,-29.2,31.359,94.0,0.51,0.0
-74.0,-26.1,31.619,104.0,0.55,0.0
-67.6,-23.5,31.839,114.0,0.71,0.0
-60.6,-20.9,32.06,122.0,0.71,1.0
-55.0,-19.2,32.24,118.0,0.01,1.0
-49.6,-17.9,32.419,106.0,0.0,1.0
-37.5,-17.0,32.74,99.0,0.0,1.0
-29.1,-20.4,33.14,93.0,0.0,0.0
-25.0,-25.3,33.5,86.0,0.0,0.0
-23.0,-29.3,33.68,86.0,0.0,0.0
-21.6,-33.4,33.86,84.0,0.09,0.0
-19.9,-40.3,34.16,86.0,0.41,0.0
-19.5,-42.7,34.26,86.0,0.41,0.0
-18.8,-48.5,34.56,101.0,0.63,0.0
-18.6,-53.6,34.74,101.0,0.63,0.0
-18.5,-59.0,34.921,104.0,0.71,0.0
-18.8,-69.0,35.16,119.0,0.91,0.0
-19.5,-77.1,35.44,141.0,0.99,0.0
-20.7,-87.7,35.7,152.0,0.99,0.0
-22.7,-105.9,35.98,168.0,0.99,0.0
-24.7,-123.9,36.361,181.0,0.99,0.0
-26.1,-136.6,36.7,200.0,0.99,0.0
-27.3,-147.7,36.901,200.0,0.99,0.0
-28.9,-161.6,37.141,207.0,0.99,0.0
-30.6,-172.2,37.32,213.0,0.99,0.0
-34.6,-188.2,37.579,225.0,0.99,0.0
-41.3,-209.6,37.859,227.0,0.99,0.0
-47.1,-225.7,38.2,238.0,0.99,0.0
-49.9,-233.2,38.32,238.0,0.99,0.0
-56.6,-249.5,38.58,245.0,0.99,0.0
-62.0,-262.2,38.78,248.0,0.99,0.0
-67.9,-274.9,38.979,252.0,0.99,0.0
-74.4,-287.4,39.18,255.0,0.99,0.0
-83.4,-301.9,39.36,259.0,0.99,0.0
-91.3,-311.9,39.539,259.0,0.99,0.0
-101.3,-322.5,39.74,263.0,0.99,0.0
-115.9,-334.7,40.0,265.0,0.99,0.0
-137.8,-347.6,40.339,268.0,0.99,0.0
-155.6,-356.1,40.48,268.0,0.99,0.0
-177.5,-366.6,40.92,277.0,1.0,0.0
-189.9,-372.9,41.1,277.0,1.0,0.0
-206.4,-381.3,41.34,281.0,1.0,0.0
-231.1,-393.5,41.56,283.0,0.99,0.0
-237.5,-396.6,41.82,283.0,0.99,0.0
-252.7,-403.5,42.041,286.0,1.0,0.0
-283.8,-415.6,42.321,287.0,0.99,0.0
-316.6,-425.3,42.78,287.0,0.24,0.0
-339.6,-429.9,43.24,227.0,0.0,1.0
-351.6,-431.6,43.441,207.0,0.0,1.0
-357.3,-432.3,43.54,207.0,0.0,1.0
-367.6,-433.5,43.721,196.0,0.0,1.0
-380.2,-434.7,43.981,158.0,0.0,1.0
-387.7,-435.5,44.159,158.0,0.0,1.0
-395.0,-436.4,44.359,126.0,0.0,1.0
-406.1,-438.4,44.679,104.0,0.0,1.0
-415.7,-443.7,45.02,94.0,0.0,1.0
-418.5,-448.0,45.36,90.0,0.0,0.0
-421.6,-453.7,45.6,87.0,0.0,1.0
-424.1,-457.7,45.799,78.0,0.0,1.0
-426.7,-460.5,45.98,78.0,0.0,1.0
-432.5,-463.8,46.319,75.0,0.0,1.0
-434.0,-464.2,46.4,67.0,0.05,0.0
-437.3,-464.9,46.58,67.0,0.05,0.0
-442.2,-465.1,46.84,66.0,0.29,0.0
-446.9,-464.6,47.08,70.0,0.39,0.0
-451.4,-463.8,47.3,75.0,0.5,0.0
-462.0,-461.2,47.6,89.0,0.67,0.0
-468.8,-460.1,47.981,109.0,0.79,0.0
-475.8,-460.0,48.2,114.0,0.83,0.0
-482.1,-460.5,48.38,124.0,0.91,0.0
-487.4,-461.2,48.52,140.0,0.99,0.0
-504.0,-463.7,48.861,156.0,0.99,0.0
-518.5,-465.9,49.24,169.0,0.99,0.0
-532.3,-467.8,49.401,178.0,0.99,0.0
-542.7,-469.1,49.72,186.0,0.99,0.0
-568.1,-472.2,50.08,204.0,0.99,0.0
-579.7,-473.5,50.38,210.0,0.99,0.0
-606.4,-476.2,50.68,218.0,0.99,0.0
-629.8,-478.1,51.06,229.0,0.13,0.0
-641.7,-478.8,51.38,216.0,0.0,1.0
-654.7,-479.8,51.62,201.0,0.0,1.0
-666.1,-482.0,51.86,188.0,0.0,1.0
-679.7,-489.2,52.1,176.0,0.0,1.0
-687.5,-496.5,52.42,168.0,0.44,0.0
-696.0,-507.0,52.7,170.0,0.7,0.0
-702.3,-516.7,52.94,170.0,0.7,0.0
-706.0,-523.7,53.1,177.0,0.88,0.0
-710.0,-532.7,53.3,185.0,0.99,0.0
-713.3,-542.0,53.5,185.0,0.99,0.0
-722.0,-609.1,54.521,217.0,0.99,0.0
-718.0,-631.2,54.92,225.0,0.89,0.0
-709.2,-643.4,55.28,229.0,0.86,0.0
-696.5,-662.7,55.48,229.0,0.86,0.0
-689.6,-684.2,55.961,238.0,0.87,0.0
-685.0,-700.7,56.12,238.0,0.67,0.0
-679.3,-727.9,56.54,221.0,0.0,1.0
-676.7,-746.5,57.001,172.0,0.0,1.0
-675.5,-758.9,57.18,172.0,0.0,1.0
-674.8,-768.7,57.479,152.0,0.0,1.0
-674.6,-780.3,57.759,149.0,0.0,1.0
-675.2,-786.7,57.92,149.0,0.0,1.0
-677.1,-793.3,58.12,134.0,0.0,1.0
-683.4,-800.1,58.38,130.0,0.0,1.0
-689.3,-809.2,58.68,127.0,0.04,0.0
-689.7,-820.4,58.859,124.0,0.18,0.0
-688.3,-830.9,59.3,124.0,0.51,0.0
-687.9,-833.0,59.36,129.0,0.73,0.0
-685.6,-842.5,59.62,136.0,0.89,0.0
-681.1,-855.8,59.84,156.0,0.99,0.0
-677.5,-864.7,60.18,161.0,0.99,0.0
-673.7,-872.3,60.36,161.0,0.99,0.0
-667.3,-883.5,60.62,185.0,0.99,0.0
-660.4,-893.5,60.88,194.0,0.92,0.0
-652.1,-903.4,61.12,194.0,0.92,0.0
-643.8,-911.6,61.341,186.0,0.0,1.0
-637.5,-916.2,61.5,170.0,0.0,1.0
-630.8,-920.2,61.66,170.0,0.0,1.0
-615.2,-928.8,61.98,153.0,0.0,1.0
-610.3,-931.4,62.24,115.0,0.0,1.0
-605.5,-934.3,62.421,115.0,0.0,1.0
-598.9,-939.5,62.741,89.0,0.0,1.0
-596.1,-942.7,62.92,85.0,0.0,1.0
-593.6,-947.8,63.18,77.0,0.0,1.0
-592.9,-952.4,63.4,77.0,0.0,1.0
-593.1,-955.3,63.541,72.0,0.0,1.0
-594.1,-960.4,63.801,72.0,0.0,1.0
-597.4,-966.8,64.06,66.0,0.03,0.0
-600.0,-969.6,64.42,62.0,0.23,0.0
-601.0,-970.4,64.499,62.0,0.27,0.0
-605.1,-972.6,64.759,66.0,0.34,0.0
-611.9,-974.7,65.099,70.0,0.43,0.0
-617.0,-975.7,65.359,76.0,0.61,0.0
-622.9,-976.3,65.6,84.0,0.64,0.0
-631.4,-977.0,65.82,101.0,0.74,0.0
-646.2,-977.2,66.28,110.0,0.01,1.0
-651.7,-976.8,66.62,97.0,0.0,1.0
-657.4,-976.1,66.84,91.0,0.0,1.0
-666.0,-974.0,67.14,85.0,0.0,1.0
-670.8,-971.4,67.48,79.0,0.22,0.0
-673.0,-969.4,67.62,79.0,0.22,0.0
-678.0,-960.8,67.94,82.0,0.39,0.0
-679.1,-957.4,68.2,88.0,0.6,0.0
-681.9,-944.6,68.56,94.0,0.74,0.0
-685.4,-931.7,68.941,120.0,0.98,0.0
-688.9,-924.1,69.281,134.0,0.99,0.0
-694.5,-914.6,69.541,162.0,0.99,0.0
-698.2,-909.3,69.68,162.0,0.99,0.0
-710.4,-891.3,69.96,183.0,0.99,0.0
-714.7,-884.0,70.26,195.0,0.99,0.0
