x,y,t,speed,throttle,brake
-766.2,-659.2,0.0,265.0,1.0,0.0
-766.9,-650.3,0.381,283.0,0.62,0.0
-767.7,-636.2,0.56,278.0,0.44,1.0
-767.9,-618.4,0.819,221.0,0.0,1.0
-766.8,-598.6,1.02,203.0,0.0,1.0
-765.3,-580.2,1.46,181.0,0.0,1.0
-763.9,-567.4,1.8,155.0,0.0,1.0
-763.1,-561.4,1.94,155.0,0.0,1.0
-761.9,-553.5,2.14,149.0,0.0,1.0
-759.4,-539.6,2.42,124.0,0.0,1.0
-758.1,-532.9,2.761,112.0,0.0,1.0
-756.7,-526.9,2.96,112.0,0.0,0.0
-754.0,-515.2,3.24,103.0,0.08,0.0
-752.2,-508.3,3.64,103.0,0.26,0.0
-750.0,-500.6,3.92,104.0,0.3,0.0
-748.9,-497.0,4.04,104.0,0.3,0.0
-747.1,-491.3,4.24,110.0,0.55,0.0
-745.0,-485.1,4.461,117.0,0.76,0.0
-742.6,-479.3,4.64,117.0,0.76,0.0
-738.6,-472.4,4.88,129.0,0.94,0.0
-709.5,-459.8,5.14,139.0,1.0,0.0
-699.1,-459.2,5.501,153.0,1.0,0.0
-689.7,-458.5,5.72,153.0,1.0,0.0
-677.2,-457.5,5.94,171.0,1.0,0.0
-661.8,-455.9,6.321,174.0,1.0,0.0
-651.2,-454.4,6.54,174.0,1.0,0.0
-641.2,-452.7,6.76,174.0,1.0,0.0
-630.6,-450.5,6.981,174.0,1.0,0.0
-623.2,-448.8,7.1,216.0,1.0,0.0
-614.3,-446.6,7.261,216.0,1.0,0.0
-599.1,-442.9,7.5,223.0,1.0,0.0
-588.0,-440.2,7.68,231.0,1.0,0.0
-524.8,-424.4,8.06,236.0,1.0,0.0
-513.1,-422.3,8.32,240.0,1.0,0.0
-484.4,-419.5,8.66,247.0,1.0,0.0
-472.0,-418.0,8.92,254.0,1.0,0.0
-457.3,-414.6,9.14,256.0,1.0,0.0
-437.3,-406.4,9.44,260.0,1.0,0.0
-426.7,-400.9,9.6,262.0,1.0,0.0
-413.5,-394.2,9.8,264.0,1.0,0.0
-396.0,-386.6,10.06,257.0,0.0,1.0
-373.2,-379.1,10.3,257.0,0.0,1.0
-338.1,-372.5,10.72,240.0,0.0,1.0
-328.7,-371.5,11.02,225.0,0.0,1.0
-314.8,-369.8,11.241,217.0,0.0,1.0
-295.1,-366.7,11.58,200.0,0.0,1.0
-276.9,-361.5,11.94,198.0,0.0,1.0
-258.8,-352.4,12.2,183.0,0.0,1.0
-255.3,-350.0,12.44,172.0,0.0,1.0
-242.6,-338.8,12.8,162.0,0.0,1.0
-237.6,-332.7,12.98,158.0,0.0,1.0
-234.4,-327.6,13.121,154.0,0.0,1.0
-231.6,-321.9,13.28,154.0,0.0,1.0
-227.6,-309.2,13.58,147.0,0.1,0.0
-226.2,-296.7,13.821,143.0,0.21,0.0
-226.2,-292.6,13.921,143.0,0.21,0.0
-226.6,-286.5,14.08,144.0,0.39,0.0
-228.4,-276.5,14.32,146.0,0.5,0.0
-231.6,-266.4,14.58,147.0,0.45,0.0
-234.2,-260.3,14.74,147.0,0.45,0.0
-238.0,-252.9,14.94,148.0,0.44,0.0
-242.8,-245.2,15.16,150.0,0.39,0.0
-249.2,-236.4,15.42,150.0,0.39,0.0
-256.6,-227.3,15.7,148.0,0.37,1.0
-260.8,-222.3,15.86,148.0,0.37,1.0
-262.8,-219.8,15.94,143.0,0.0,1.0
-267.8,-212.8,16.16,143.0,0.0,1.0
-274.2,-197.7,16.52,124.0,0.0,0.0
-274.6,-188.8,16.9,122.0,0.0,0.0
-272.9,-180.1,17.06,119.0,0.3,0.0
-269.5,-170.7,17.461,119.0,0.54,0.0
-265.8,-163.3,17.7,123.0,0.55,0.0
-262.7,-158.1,17.88,130.0,0.58,0.0
-261.3,-156.1,18.081,137.0,0.63,0.0
-255.0,-147.2,18.361,142.0,0.67,0.0
-249.7,-140.5,18.561,150.0,0.87,0.0
-244.9,-135.0,18.74,150.0,0.87,0.0
-236.2,-125.5,19.02,159.0,1.0,0.0
-234.4,-123.4,19.08,159.0,1.0,0.0
-227.9,-116.1,19.28,185.0,1.0,0.0
-213.4,-97.0,19.641,199.0,1.0,0.0
-206.3,-86.4,19.981,206.0,0.19,1.0
-194.3,-69.2,20.261,189.0,0.0,1.0
-184.3,-56.1,20.679,175.0,0.0,1.0
-179.1,-49.6,20.88,141.0,0.0,1.0
-175.1,-44.9,21.04,141.0,0.0,1.0
-167.9,-36.4,21.28,125.0,0.0,1.0
-164.6,-32.8,21.519,103.0,0.0,1.0
-158.4,-26.5,21.84,91.0,0.0,1.0
-155.3,-23.9,22.0,86.0,0.0,1.0
-151.1,-21.2,22.22,81.0,0.0,1.0
-143.7,-19.8,22.5,75.0,0.0,1.0
-138.7,-20.9,22.84,74.0,0.0,1.0
-136.6,-21.7,22.96,72.0,0.0,0.0
-129.9,-26.4,23.24,72.0,0.0,0.0
-125.8,-31.7,23.7,70.0,0.17,0.0
-124.0,-35.8,23.92,76.0,0.27,0.0
-122.9,-39.0,24.08,76.0,0.27,0.0
-121.2,-45.6,24.34,82.0,0.42,0.0
-118.2,-56.8,24.74,90.0,0.56,0.0
-116.2,-63.4,25.081,101.0,0.64,0.0
