x,y,t,speed,throttle,brake
-766.9,-649.7,0.0,264.0,1.0,0.0
-767.6,-637.8,0.159,268.0,1.0,0.0
-768.0,-621.4,0.38,269.0,1.0,0.0
-767.3,-607.8,0.56,271.0,1.0,0.0
-766.6,-595.7,0.719,273.0,1.0,0.0
-763.0,-560.3,1.08,260.0,0.0,1.0
-760.8,-546.5,1.4,250.0,0.0,1.0
-758.6,-535.1,1.58,250.0,0.0,1.0
-756.4,-525.4,1.76,191.0,0.0,1.0
-753.6,-513.8,2.0,153.0,0.0,1.0
-750.5,-502.3,2.28,145.0,0.0,1.0
-749.3,-498.0,2.401,145.0,0.0,1.0
-747.5,-492.4,2.56,128.0,0.0,1.0
-745.5,-486.5,2.74,122.0,0.0,1.0
-742.2,-478.5,3.0,117.0,0.0,1.0
-737.4,-470.9,3.3,112.0,0.05,0.0
-733.5,-467.7,3.481,112.0,0.05,0.0
-728.4,-465.1,3.66,113.0,0.41,0.0
-718.4,-462.0,3.94,113.0,0.56,0.0
-710.2,-460.6,4.219,127.0,0.64,0.0
-694.7,-458.9,4.479,132.0,0.76,0.0
-684.2,-458.1,4.739,152.0,1.0,0.0
-677.3,-457.5,4.9,157.0,1.0,0.0
-662.2,-456.0,5.12,161.0,1.0,0.0
-651.9,-454.6,5.46,161.0,1.0,0.0
-641.8,-452.8,5.66,183.0,1.0,0.0
-627.3,-449.7,5.94,197.0,1.0,0.0
-618.8,-447.7,6.1,202.0,1.0,0.0
-604.6,-444.2,6.36,202.0,1.0,0.0
-587.5,-440.0,6.56,212.0,1.0,0.0
-525.5,-424.6,7.68,232.0,1.0,0.0
-500.7,-420.9,7.92,236.0,1.0,0.0
-479.0,-419.0,8.381,247.0,1.0,0.0
-469.7,-417.6,8.52,249.0,1.0,0.0
-458.0,-414.8,8.7,249.0,1.0,0.0
-442.4,-408.8,8.941,252.0,1.0,0.0
-424.1,-399.6,9.221,256.0,1.0,0.0
-404.7,-390.2,9.38,256.0,1.0,0.0
-387.3,-383.4,9.781,261.0,1.0,0.0
-360.7,-376.1,10.041,261.0,1.0,0.0
-325.7,-371.1,10.52,266.0,0.87,1.0
-314.0,-369.7,10.759,266.0,0.87,1.0
-283.3,-363.7,11.1,261.0,0.04,1.0
-268.9,-358.1,11.44,261.0,0.04,1.0
-260.6,-353.6,11.599,212.0,0.0,1.0
-248.9,-345.1,11.859,194.0,0.0,1.0
-238.2,-333.6,12.16,190.0,0.0,1.0
-232.6,-324.5,12.379,175.0,0.0,1.0
-231.1,-321.0,12.46,175.0,0.0,1.0
-226.7,-303.8,12.78,166.0,0.0,0.0
-226.4,-299.6,13.1,162.0,0.0,0.0
-226.4,-290.8,13.3,153.0,0.26,0.0
-228.0,-278.3,13.6,154.0,0.32,0.0
-230.3,-270.1,13.8,154.0,0.46,0.0
-232.7,-263.5,13.96,159.0,0.53,0.0
-236.1,-256.3,14.14,159.0,0.53,0.0
-243.6,-243.8,14.46,163.0,0.46,0.0
-250.2,-235.0,14.68,163.0,0.5,0.0
-257.8,-225.8,14.96,163.0,0.16,1.0
-265.8,-215.7,15.26,149.0,0.0,1.0
-270.9,-207.5,15.5,141.0,0.0,1.0
-273.6,-200.6,15.701,140.0,0.01,1.0
-274.8,-191.1,15.9,140.0,0.01,1.0
-273.5,-182.1,16.2,134.0,0.2,0.0
-270.4,-172.7,16.46,135.0,0.42,0.0
-265.9,-163.5,16.72,138.0,0.65,0.0
-260.3,-154.3,16.94,154.0,0.8,0.0
-256.3,-148.7,17.101,154.0,0.8,0.0
-251.9,-143.1,17.26,163.0,1.0,0.0
-239.9,-129.5,17.499,181.0,1.0,0.0
-234.5,-123.5,17.799,187.0,1.0,0.0
-220.7,-107.2,18.099,187.0,1.0,0.0
-210.8,-93.2,18.5,205.0,1.0,0.0
-199.4,-76.4,18.72,214.0,1.0,0.0
-184.5,-56.4,19.179,198.0,0.07,1.0
-179.0,-49.5,19.44,186.0,0.0,1.0
-172.9,-42.2,19.66,137.0,0.0,1.0
-161.7,-29.7,20.039,130.0,0.0,1.0
-155.8,-24.2,20.42,106.0,0.0,1.0
-153.7,-22.7,20.52,97.0,0.0,1.0
-145.6,-19.7,20.76,97.0,0.0,1.0
-138.6,-20.8,21.22,79.0,0.0,1.0
-133.5,-23.4,21.48,76.0,0.0,0.0
-130.3,-25.9,21.68,76.0,0.0,0.0
-126.7,-30.2,21.9,71.0,0.1,0.0
-125.0,-33.4,22.14,77.0,0.32,0.0
-123.0,-38.7,22.4,77.0,0.32,0.0
-120.8,-47.1,22.62,92.0,0.47,0.0
-118.9,-54.4,23.04,100.0,0.54,0.0
-117.3,-59.8,23.24,105.0,0.68,0.0
-115.6,-65.2,23.421,124.0,0.69,0.0
-113.2,-71.8,23.621,124.0,0.69,0.0
-109.8,-80.2,23.86,138.0,0.23,0.0
-106.0,-88.2,24.099,131.0,0.0,1.0
-101.8,-95.8,24.279,111.0,0.0,1.0
-97.3,-102.3,24.54,105.0,0.0,1.0
-93.3,-106.8,24.78,92.0,0.0,1.0
-88.6,-110.5,24.96,82.0,0.0,1.0
-82.8,-113.0,25.4,64.0,0.0,1.0
-79.2,-113.2,25.62,57.0,0.0,1.0
-77.0,-112.5,25.78,57.0,0.0,1.0
-74.9,-111.0,25.96,56.0,0.0,1.0
-73.1,-105.4,26.24,53.0,0.0,0.0
-73.1,-104.0,26.48,49.0,0.0,0.0
-74.3,-98.0,26.8,46.0,0.0,0.0
-75.2,-95.7,27.14,44.0,0.0,0.0
-76.7,-92.7,27.42,42.0,0.15,0.0
-78.7,-89.4,27.681,42.0,0.15,0.0
-80.3,-87.3,27.92,50.0,0.21,0.0
-82.6,-84.5,28.16,54.0,0.25,0.0
-86.0,-80.8,28.46,61.0,0.32,0.0
-87.0,-79.8,28.541,61.0,0.32,0.0
-89.1,-77.8,28.781,74.0,0.51,0.0
-91.3,-75.4,28.94,89.0,0.55,0.0
-96.0,-70.2,29.22,97.0,0.39,0.0
-98.6,-66.8,29.381,97.0,0.39,0.0
-102.6,-57.4,29.661,90.0,0.0,1.0
-102.2,-49.3,30.161,82.0,0.0,1.0
-101.0,-45.9,30.32,81.0,0.0,1.0
-99.0,-42.5,30.501,80.0,0.03,0.0
-96.2,-39.2,30.7,77.0,0.23,0.0
-93.2,-36.6,30.879,77.0,0.23,0.0
-84.5,-31.2,31.22,81.0,0.39,0.0
-77.6,-27.7,31.58,89.0,0.56,0.0
-75.1,-26.6,31.679,106.0,0.63,0.0
-70.7,-24.7,31.84,106.0,0.63,0.0
-59.2,-20.4,32.22,121.0,0.39,0.0
-53.0,-18.6,32.42,118.0,0.0,1.0
-50.6,-18.1,32.5,118.0,0.0,1.0
-44.4,-17.1,32.72,102.0,0.0,1.0
-34.4,-17.6,33.04,90.0,0.0,1.0
-27.5,-22.0,33.48,87.0,0.0,0.0
-23.2,-29.1,33.7,82.0,0.0,0.0
-22.3,-31.3,33.94,80.0,0.13,0.0
-20.8,-36.1,34.16,80.0,0.27,0.0
-19.2,-44.5,34.52,88.0,0.49,0.0
-19.0,-46.5,34.6,88.0,0.49,0.0
-18.6,-52.0,34.86,101.0,0.62,0.0
-18.5,-58.5,35.08,101.0,0.62,0.0
-18.7,-66.3,35.321,119.0,0.74,0.0
-19.2,-74.0,35.54,127.0,0.82,0.0
-19.5,-77.0,35.621,127.0,0.82,0.0
-20.8,-88.9,35.921,149.0,1.0,0.0
-22.4,-102.9,36.1,159.0,1.0,0.0
-24.0,-117.3,36.54,176.0,1.0,0.0
-25.2,-128.3,36.761,188.0,1.0,0.0
-26.6,-141.1,37.001,199.0,1.0,0.0
-27.6,-151.1,37.179,199.0,1.0,0.0
-29.1,-163.6,37.399,205.0,1.0,0.0
-31.8,-177.5,37.639,211.0,1.0,0.0
-35.5,-191.6,37.78,221.0,1.0,0.0
-40.1,-205.9,38.12,227.0,1.0,0.0
-47.0,-225.3,38.44,233.0,1.0,0.0
-49.3,-231.4,38.539,237.0,1.0,0.0
-56.2,-248.6,38.819,243.0,1.0,0.0
-64.3,-267.3,39.02,243.0,1.0,0.0
-70.9,-281.0,39.339,249.0,1.0,0.0
-81.7,-299.3,39.6,252.0,1.0,0.0
-89.8,-310.1,39.78,257.0,1.0,0.0
-103.5,-324.6,40.06,259.0,1.0,0.0
-123.0,-339.4,40.28,260.0,1.0,0.0
-133.2,-345.3,40.56,264.0,1.0,0.0
-146.6,-351.9,40.76,264.0,1.0,0.0
-173.5,-364.7,41.16,268.0,1.0,0.0
-188.3,-372.1,41.34,271.0,1.0,0.0
-201.9,-379.0,41.581,273.0,1.0,0.0
-229.4,-392.7,41.98,278.0,1.0,0.0
-250.9,-402.7,42.18,280.0,1.0,0.0
-272.6,-411.6,42.6,282.0,1.0,0.0
-274.1,-412.1,42.62,282.0,1.0,0.0
-296.3,-419.7,42.921,284.0,1.0,0.0
-324.9,-427.2,43.201,284.0,1.0,0.0
-343.4,-430.5,43.561,256.0,0.0,1.0
-364.3,-433.1,43.82,220.0,0.0,1.0
-376.8,-434.4,44.14,186.0,0.0,1.0
-386.7,-435.4,44.36,153.0,0.0,1.0
-396.6,-436.6,44.62,134.0,0.0,1.0
-405.4,-438.2,44.779,134.0,0.0,1.0
-413.9,-442.1,45.28,95.0,0.0,1.0
-417.3,-446.0,45.5,92.0,0.0,1.0
-420.1,-451.0,45.619,86.0,0.0,1.0
-425.9,-459.7,46.1,83.0,0.0,1.0
-429.8,-462.6,46.4,71.0,0.0,1.0
-436.1,-464.7,46.64,63.0,0.0,1.0
-440.7,-465.1,47.02,64.0,0.12,0.0
-447.0,-464.6,47.36,67.0,0.21,0.0
-451.3,-463.8,47.58,71.0,0.34,0.0
-453.8,-463.2,47.7,74.0,0.45,0.0
-459.5,-461.7,47.96,74.0,0.45,0.0
-463.5,-460.9,48.121,95.0,0.55,0.0
-467.7,-460.2,48.28,95.0,0.55,0.0
-477.8,-460.1,48.62,116.0,0.71,0.0
-480.4,-460.3,48.7,116.0,0.71,0.0
-486.6,-461.1,48.901,129.0,0.71,0.0
-497.4,-462.7,49.201,129.0,0.79,0.0
-504.5,-463.8,49.38,143.0,0.85,0.0
-515.6,-465.5,49.64,161.0,1.0,0.0
-525.7,-466.9,49.86,170.0,1.0,0.0
-536.2,-468.3,50.081,170.0,1.0,0.0
-546.3,-469.5,50.281,182.0,1.0,0.0
-566.7,-472.0,50.519,193.0,1.0,0.0
-574.5,-472.9,50.799,207.0,1.0,0.0
-583.7,-473.9,50.96,207.0,1.0,0.0
-609.9,-476.5,51.299,218.0,1.0,0.0
-623.5,-477.7,51.619,223.0,0.58,0.0
-639.2,-478.6,51.879,222.0,0.0,1.0
-647.9,-479.2,52.04,190.0,0.0,1.0
-660.6,-480.6,52.3,178.0,0.0,1.0
-669.0,-483.0,52.5,178.0,0.0,1.0
-676.6,-487.0,52.699,169.0,0.0,1.0
-689.3,-498.6,52.979,161.0,0.14,0.0
-695.0,-505.6,53.28,160.0,0.44,0.0
-700.1,-513.2,53.48,162.0,0.67,0.0
-703.8,-519.6,53.64,168.0,0.7,0.0
-708.5,-529.0,53.86,175.0,0.9,0.0
-712.6,-539.6,54.1,182.0,1.0,0.0
-716.7,-554.8,54.4,190.0,1.0,0.0
-719.1,-567.0,54.58,196.0,0.95,0.0
-721.1,-583.9,54.78,201.0,0.69,0.0
-722.0,-598.6,55.14,205.0,0.58,0.0
-721.9,-610.0,55.34,205.0,0.63,0.0
-720.8,-621.0,55.54,205.0,0.63,0.0
-711.6,-641.0,55.88,215.0,1.0,0.0
-703.7,-649.0,56.12,215.0,1.0,0.0
-695.2,-666.6,56.44,223.0,0.99,0.0
-692.0,-676.3,56.601,227.0,1.0,0.0
-685.9,-697.3,56.921,231.0,1.0,0.0
-682.0,-713.7,57.2,236.0,1.0,1.0
-679.1,-728.9,57.48,223.0,0.0,1.0
-677.7,-738.8,57.66,223.0,0.0,1.0
-676.9,-745.0,57.779,183.0,0.0,1.0
-675.4,-760.1,58.099,161.0,0.0,1.0
-674.6,-771.4,58.28,155.0,0.0,1.0
-674.9,-784.4,58.679,146.0,0.0,1.0
-677.7,-794.3,58.84,136.0,0.0,1.0
-682.5,-799.3,59.18,132.0,0.0,1.0
-689.6,-810.7,59.56,125.0,0.0,0.0
-689.9,-814.9,59.68,125.0,0.0,0.0
-689.7,-820.5,59.84,120.0,0.0,0.0
-688.9,-827.1,60.04,115.0,0.29,0.0
-687.7,-833.6,60.24,115.0,0.29,0.0
-686.4,-839.5,60.42,118.0,0.52,0.0
-684.2,-847.0,60.64,120.0,0.77,0.0
-681.7,-854.2,60.84,137.0,0.94,0.0
-678.0,-863.3,61.08,157.0,1.0,0.0
-671.7,-876.1,61.4,166.0,1.0,0.0
-666.8,-884.3,61.6,174.0,1.0,0.0
-661.6,-891.8,61.8,182.0,1.0,0.0
-651.0,-904.6,62.08,188.0,1.0,0.0
-639.5,-914.8,62.42,193.0,0.14,1.0
-631.7,-919.7,62.601,176.0,0.0,1.0
-620.9,-925.7,62.861,141.0,0.0,1.0
-615.0,-928.9,63.02,141.0,0.0,1.0
-605.8,-934.1,63.28,115.0,0.0,1.0
-599.8,-938.6,63.579,103.0,0.0,1.0
-597.1,-941.4,63.74,85.0,0.0,1.0
-593.1,-950.1,64.079,81.0,0.0,1.0
-593.0,-954.3,64.379,75.0,0.0,1.0
-594.3,-960.9,64.72,72.0,0.0,1.0
