x,y,t,speed,throttle,brake
-766.4,-658.8,0.0,114.0,0.21,0.0
-766.8,-652.5,0.3,114.0,0.29,0.0
-767.1,-646.8,0.48,114.0,0.29,0.0
-767.7,-636.6,0.8,117.0,0.44,0.0
-768.1,-626.6,1.021,120.0,0.45,0.0
-767.6,-615.5,1.42,125.0,0.39,0.0
-767.1,-605.1,1.619,125.0,0.23,0.0
-766.5,-595.4,2.0,125.0,0.22,0.0
-766.2,-589.9,2.159,125.0,0.3,0.0
-765.0,-576.7,2.42,125.0,0.32,0.0
-763.8,-566.3,2.84,126.0,0.03,0.0
-763.0,-560.8,3.0,126.0,0.03,0.0
-762.2,-555.4,3.16,124.0,0.0,1.0
-760.3,-544.3,3.5,116.0,0.0,0.0
-758.5,-534.8,3.66,116.0,0.0,0.0
-757.0,-528.1,4.02,112.0,0.0,0.0
-754.4,-516.8,4.28,109.0,0.0,1.0
-748.0,-494.0,5.281,90.0,0.0,1.0
-746.8,-490.3,5.44,90.0,0.0,1.0
-743.0,-480.2,5.76,85.0,0.09,0.0
-741.0,-476.2,6.101,83.0,0.07,0.0
-738.7,-472.6,6.3,83.0,0.07,0.0
-732.5,-467.2,6.6,82.0,0.16,0.0
-724.1,-463.7,6.921,83.0,0.23,0.0
-715.7,-461.6,7.42,88.0,0.35,0.0
-711.8,-461.0,7.58,88.0,0.35,0.0
-706.7,-460.3,7.781,92.0,0.44,0.0
-701.5,-459.7,7.981,94.0,0.44,0.0
-691.9,-458.8,8.199,97.0,0.44,0.0
-682.9,-458.0,8.4,99.0,0.56,0.0
-676.9,-457.5,8.719,108.0,0.18,0.0
-662.7,-456.0,9.06,106.0,0.2,0.0
-655.1,-455.0,9.46,107.0,0.37,0.0
-645.5,-453.4,9.7,109.0,0.42,0.0
-636.9,-451.7,10.06,116.0,0.52,0.0
-631.8,-450.6,10.22,117.0,0.58,0.0
-622.0,-448.4,10.52,122.0,0.62,0.0
-611.3,-445.8,10.679,131.0,0.68,0.0
-603.9,-444.0,11.02,137.0,0.71,0.0
-596.8,-442.3,11.2,147.0,0.77,0.0
-588.6,-440.3,11.4,154.0,0.99,0.0
-569.5,-435.5,11.7,164.0,0.99,0.0
-554.6,-431.6,12.16,172.0,0.99,0.0
-546.9,-429.6,12.32,181.0,0.99,0.0
-535.9,-426.9,12.54,188.0,0.99,0.0
-518.3,-423.2,12.74,188.0,0.99,0.0
-508.0,-421.7,13.08,185.0,0.0,1.0
-489.3,-420.0,13.34,185.0,0.0,1.0
-476.7,-418.7,13.741,165.0,0.0,1.0
-463.1,-416.1,13.92,157.0,0.28,0.0
-453.3,-413.0,14.301,157.0,0.28,0.0
-441.1,-407.9,14.601,158.0,0.53,0.0
-429.8,-402.3,14.82,158.0,0.55,0.0
-419.2,-396.9,15.14,167.0,0.64,0.0
-403.0,-389.4,15.48,176.0,0.68,0.0
-395.0,-386.2,15.7,176.0,0.68,0.0
-374.2,-379.3,16.06,182.0,0.65,0.0
-360.2,-376.1,16.42,188.0,0.67,0.0
-345.6,-373.7,16.7,188.0,0.67,0.0
-336.8,-372.5,16.9,186.0,0.0,0.0
-320.9,-370.6,17.1,186.0,0.0,0.0
-312.1,-369.4,17.4,177.0,0.0,0.0
-299.6,-367.5,17.68,157.0,0.0,1.0
-282.9,-363.4,17.96,142.0,0.0,1.0
-270.6,-358.7,18.36,138.0,0.0,1.0
-265.1,-355.9,18.64,126.0,0.0,1.0
-257.9,-351.6,18.901,119.0,0.0,1.0
-253.4,-348.3,19.08,108.0,0.0,1.0
-244.7,-340.7,19.4,101.0,0.0,0.0
-237.0,-331.3,19.8,99.0,0.0,0.0
-234.2,-326.8,20.12,99.0,0.0,0.0
-229.9,-316.7,20.46,95.0,0.0,0.0
-228.2,-310.7,20.781,92.0,0.0,0.0
-227.4,-306.7,20.94,90.0,0.0,0.0
-226.8,-301.7,21.141,90.0,0.0,0.0
-226.5,-293.8,21.46,89.0,0.24,0.0
-226.7,-288.4,21.68,90.0,0.25,0.0
-227.2,-283.9,21.86,91.0,0.25,0.0
-228.0,-279.4,22.039,91.0,0.25,0.0
-229.2,-274.4,22.24,92.0,0.25,0.0
-229.9,-271.9,22.339,93.0,0.25,0.0
-231.6,-267.0,22.54,93.0,0.25,0.0
-234.9,-259.3,22.86,95.0,0.3,0.0
-237.5,-254.1,23.08,96.0,0.34,0.0
-240.0,-249.9,23.26,96.0,0.34,0.0
-241.7,-247.2,23.38,98.0,0.22,0.0
-246.2,-240.5,23.68,98.0,0.22,0.0
-250.1,-235.4,23.92,95.0,0.0,0.0
-256.1,-228.1,24.16,92.0,0.0,0.0
-260.0,-223.4,24.52,92.0,0.0,0.0
-263.7,-218.7,24.76,89.0,0.03,0.0
-266.8,-214.4,24.98,87.0,0.0,0.0
-270.4,-208.2,25.18,87.0,0.0,0.0
-272.1,-204.5,25.46,85.0,0.07,0.0
-273.4,-200.6,25.64,85.0,0.08,0.0
-274.4,-195.2,25.88,84.0,0.09,0.0
-274.5,-189.6,26.12,84.0,0.18,0.0
-273.5,-182.9,26.4,86.0,0.2,0.0
-272.9,-180.5,26.501,89.0,0.38,0.0
-270.5,-173.4,26.801,92.0,0.42,0.0
-266.9,-165.6,27.0,95.0,0.43,0.0
-264.0,-160.3,27.341,100.0,0.46,0.0
-261.5,-156.4,27.5,105.0,0.44,0.0
-259.9,-153.9,27.72,109.0,0.28,0.0
-256.0,-148.5,27.94,109.0,0.0,0.0
-250.4,-141.4,28.24,106.0,0.0,1.0
-248.5,-139.1,28.339,106.0,0.0,1.0
-241.8,-131.6,28.7,100.0,0.0,1.0
-237.3,-126.6,28.919,93.0,0.0,1.0
-233.7,-122.7,29.179,84.0,0.0,1.0
-227.9,-116.1,29.459,84.0,0.0,1.0
-223.7,-110.8,29.86,82.0,0.0,0.0
-218.2,-103.6,30.12,82.0,0.09,0.0
-212.9,-96.1,30.52,83.0,0.12,0.0
-211.1,-93.4,30.8,84.0,0.12,0.0
-207.5,-88.1,31.18,85.0,0.15,0.0
-200.9,-78.5,31.56,89.0,0.18,0.0
-198.3,-74.8,31.86,91.0,0.18,0.0
-193.4,-68.0,32.08,92.0,0.21,0.0
-190.3,-63.9,32.28,93.0,0.24,0.0
-185.5,-57.7,32.58,95.0,0.21,0.0
-181.3,-52.4,32.84,92.0,0.0,1.0
-177.1,-47.2,33.041,92.0,0.0,1.0
-173.3,-42.7,33.341,88.0,0.0,1.0
-170.0,-38.8,33.561,85.0,0.0,1.0
-167.2,-35.7,33.74,82.0,0.0,1.0
-163.4,-31.5,34.0,80.0,0.0,1.0
-160.1,-28.1,34.221,74.0,0.0,1.0
-156.3,-24.7,34.481,69.0,0.0,1.0
-153.0,-22.3,34.7,69.0,0.0,1.0
-150.0,-20.8,34.899,65.0,0.0,1.0
-143.8,-19.9,35.139,64.0,0.0,1.0
-139.3,-20.8,35.56,59.0,0.0,0.0
-135.0,-22.6,35.719,59.0,0.0,0.0
-132.6,-24.2,36.02,57.0,0.0,0.0
-128.6,-27.8,36.36,56.0,0.05,0.0
-128.2,-28.3,36.4,56.0,0.05,0.0
-126.1,-31.4,36.64,58.0,0.13,0.0
-123.0,-38.9,36.96,64.0,0.21,0.0
-121.9,-43.0,37.32,71.0,0.27,0.0
-121.1,-46.1,37.48,71.0,0.27,0.0
-119.6,-51.8,37.76,78.0,0.37,0.0
-117.5,-59.2,38.02,83.0,0.37,0.0
-114.6,-67.7,38.461,90.0,0.39,0.0
-113.4,-71.2,38.6,96.0,0.39,0.0
-111.8,-75.3,38.761,96.0,0.39,0.0
-109.9,-79.8,38.94,98.0,0.0,0.0
-107.1,-85.7,39.18,98.0,0.0,0.0
-102.1,-95.1,39.5,94.0,0.0,1.0
-100.5,-97.5,39.74,87.0,0.0,1.0
-96.2,-103.5,40.06,85.0,0.0,1.0
-93.7,-106.3,40.24,73.0,0.0,1.0
-88.7,-110.4,40.481,68.0,0.0,1.0
-81.5,-113.1,40.9,61.0,0.0,1.0
-77.9,-112.9,41.28,57.0,0.0,1.0
-75.9,-111.8,41.439,57.0,0.0,1.0
-73.2,-107.1,41.72,55.0,0.0,0.0
-73.0,-104.4,42.0,53.0,0.0,0.0
-73.6,-100.2,42.28,51.0,0.0,0.0
-75.3,-95.5,42.56,48.0,0.0,0.0
-76.5,-92.9,42.86,46.0,0.0,0.0
-77.7,-90.9,43.039,45.0,0.0,0.0
-79.7,-88.2,43.32,44.0,0.07,0.0
-80.4,-87.2,43.42,44.0,0.12,0.0
-84.3,-82.7,43.74,47.0,0.14,0.0
-85.7,-81.2,44.02,55.0,0.23,0.0
-88.5,-78.3,44.28,56.0,0.3,0.0
-92.0,-74.7,44.58,64.0,0.37,0.0
-91.4,-75.4,44.76,64.0,0.37,0.0
-95.6,-70.7,45.2,82.0,0.43,0.0
-98.7,-66.7,45.42,82.0,0.43,0.0
-99.9,-64.8,45.52,87.0,0.0,0.0
-102.3,-59.0,45.801,84.0,0.0,1.0
-102.9,-55.0,45.98,81.0,0.0,1.0
-101.8,-47.9,46.2,77.0,0.0,0.0
-97.9,-41.1,46.56,75.0,0.0,0.0
-95.0,-38.1,46.901,73.0,0.0,0.0
-91.1,-35.1,47.14,72.0,0.1,0.0
-87.2,-32.7,47.36,73.0,0.24,0.0
-84.3,-31.0,47.521,77.0,0.3,0.0
-80.4,-29.1,47.74,83.0,0.37,0.0
-73.8,-26.0,48.02,85.0,0.4,0.0
-69.2,-24.1,48.32,89.0,0.23,0.0
-64.0,-22.1,48.54,86.0,0.0,1.0
-58.2,-20.1,48.8,80.0,0.0,1.0
-51.9,-18.4,49.1,76.0,0.0,1.0
-47.6,-17.5,49.319,76.0,0.0,1.0
-44.3,-17.1,49.5,67.0,0.0,1.0
-40.0,-16.9,49.72,64.0,0.0,0.0
-34.9,-17.5,50.04,61.0,0.0,0.0
