x,y,t,speed,throttle,brake
-767.3,-643.6,0.0,268.0,0.0,0.0
-768.1,-623.0,0.28,262.0,0.0,0.0
-767.0,-601.1,0.439,262.0,0.0,0.0
-765.8,-585.5,0.799,254.0,0.0,1.0
-763.5,-563.8,1.119,227.0,0.0,1.0
-761.1,-548.1,1.32,227.0,0.0,1.0
-757.8,-531.4,1.679,198.0,0.0,1.0
-755.8,-522.6,1.86,174.0,0.0,1.0
-751.7,-506.6,2.16,155.0,0.0,1.0
-749.1,-497.2,2.459,143.0,0.0,1.0
-746.1,-488.0,2.72,129.0,0.0,1.0
-743.2,-480.5,2.96,125.0,0.0,1.0
-741.8,-477.6,3.059,114.0,0.0,1.0
-736.7,-470.2,3.379,111.0,0.0,1.0
-732.2,-466.9,3.58,107.0,0.0,0.0
-727.8,-464.9,3.739,107.0,0.0,0.0
-698.9,-459.4,4.7,117.0,0.64,0.0
-688.2,-458.5,4.94,129.0,0.8,0.0
-682.4,-458.0,5.099,129.0,0.8,0.0
-674.1,-457.2,5.319,138.0,1.0,0.0
-663.4,-456.1,5.54,147.0,1.0,0.0
-648.6,-454.0,5.919,160.0,1.0,0.0
-632.3,-450.8,6.12,174.0,1.0,0.0
-615.1,-446.8,6.56,192.0,1.0,0.0
-599.2,-442.9,6.9,200.0,1.0,0.0
-592.7,-441.3,7.02,200.0,1.0,0.0
-576.9,-437.4,7.299,212.0,1.0,0.0
-557.1,-432.3,7.539,212.0,1.0,0.0
-536.5,-427.0,7.979,221.0,1.0,0.0
-525.3,-424.5,8.159,231.0,1.0,0.0
-513.9,-422.5,8.339,231.0,1.0,0.0
-487.7,-419.8,8.599,237.0,1.0,0.0
-471.7,-417.9,8.98,243.0,1.0,0.0
-461.3,-415.8,9.139,248.0,1.0,0.0
-444.5,-409.7,9.399,251.0,1.0,0.0
-422.4,-398.7,9.599,253.0,1.0,0.0
-405.4,-390.5,9.999,260.0,1.0,0.0
-400.2,-388.2,10.08,260.0,1.0,0.0
-371.3,-378.5,10.36,264.0,0.5,0.0
-357.2,-375.5,10.699,257.0,0.0,1.0
-334.6,-372.2,11.039,247.0,0.0,1.0
-316.7,-370.0,11.2,232.0,0.0,1.0
-304.8,-368.4,11.52,219.0,0.0,1.0
-293.4,-366.3,11.72,213.0,0.0,1.0
-276.6,-361.4,12.04,204.0,0.0,1.0
-260.6,-353.5,12.32,191.0,0.0,1.0
-243.9,-340.2,12.719,172.0,0.0,1.0
-234.5,-327.8,13.06,168.0,0.0,0.0
-227.1,-306.6,13.46,160.0,0.0,0.0
-226.1,-293.9,13.859,152.0,0.12,0.0
-235.8,-257.1,14.639,152.0,0.53,0.0
-245.3,-241.5,15.059,155.0,0.52,0.0
-253.3,-231.2,15.48,157.0,0.07,0.0
-258.3,-225.3,15.659,152.0,0.07,0.0
-274.6,-188.6,16.62,128.0,0.04,0.0
-272.2,-177.5,17.079,126.0,0.11,0.0
-267.8,-167.1,17.319,124.0,0.37,0.0
-261.1,-155.5,17.74,129.0,0.49,0.0
-260.0,-154.1,18.0,132.0,0.59,0.0
-252.8,-144.3,18.32,137.0,0.69,0.0
-248.7,-139.3,18.48,146.0,0.73,0.0
-239.2,-128.7,18.76,152.0,0.8,0.0
-231.9,-120.7,19.06,165.0,0.83,0.0
-222.3,-109.3,19.38,172.0,0.83,0.0
-214.3,-98.3,19.62,177.0,0.81,0.0
-208.8,-90.2,19.88,184.0,0.0,0.0
-203.2,-81.9,20.079,182.0,0.0,0.0
-195.2,-70.5,20.338,166.0,0.0,1.0
