x,y,t,speed,throttle,brake
-767.0,-647.3,0.0,268.0,1.0,0.0
-767.9,-632.4,0.2,268.0,1.0,0.0
-767.5,-609.9,0.359,272.0,1.0,0.0
-766.0,-587.2,0.799,268.0,0.06,0.0
-764.7,-573.9,0.979,268.0,0.06,0.0
-763.1,-560.9,1.16,262.0,0.0,1.0
-761.2,-548.7,1.339,235.0,0.0,1.0
-755.9,-523.0,1.659,179.0,0.0,1.0
-753.5,-513.2,1.98,179.0,0.0,1.0
-750.7,-503.0,2.219,145.0,0.0,1.0
-748.3,-494.8,2.439,132.0,0.0,1.0
-746.5,-489.3,2.599,132.0,0.0,1.0
-743.6,-481.5,2.84,123.0,0.0,0.0
-741.4,-476.8,2.999,123.0,0.0,0.0
-737.3,-470.8,3.239,117.0,0.01,0.0
-726.1,-464.2,3.539,115.0,0.21,0.0
-716.5,-461.7,3.96,124.0,0.7,0.0
-711.0,-460.7,4.119,124.0,0.7,0.0
-703.7,-459.9,4.319,133.0,0.95,0.0
-690.5,-458.6,4.56,138.0,1.0,0.0
-682.2,-458.0,4.76,157.0,1.0,0.0
-673.4,-457.2,4.96,161.0,1.0,0.0
-658.4,-455.5,5.199,170.0,1.0,0.0
-645.4,-453.5,5.54,184.0,1.0,0.0
-626.6,-449.6,5.759,194.0,1.0,0.0
-613.7,-446.5,6.14,207.0,1.0,0.0
-591.1,-440.9,6.4,212.0,1.0,0.0
-565.2,-434.5,6.859,221.0,1.0,0.0
-555.5,-431.9,7.139,229.0,1.0,0.0
-523.2,-424.1,7.499,235.0,1.0,0.0
-510.3,-422.0,7.839,235.0,1.0,0.0
-495.6,-420.5,8.059,244.0,1.0,0.0
-486.1,-419.7,8.199,247.0,1.0,0.0
-474.0,-418.3,8.379,247.0,1.0,0.0
-416.5,-395.7,9.259,259.0,1.0,0.0
-402.1,-389.1,9.479,259.0,1.0,0.0
-374.8,-379.5,9.799,263.0,1.0,0.0
-363.4,-376.7,10.039,265.0,1.0,0.0
-335.1,-372.2,10.339,257.0,0.01,1.0
-310.1,-369.2,10.78,250.0,0.0,1.0
-296.9,-367.1,10.98,237.0,0.0,1.0
-280.0,-362.6,11.159,237.0,0.0,1.0
-267.8,-357.6,11.479,223.0,0.0,1.0
-258.8,-352.5,11.659,201.0,0.0,1.0
-249.9,-345.9,11.86,201.0,0.0,1.0
-238.6,-334.1,12.18,180.0,0.0,1.0
-233.8,-326.7,12.36,180.0,0.0,1.0
-230.2,-318.9,12.539,174.0,0.0,0.0
-227.1,-306.9,12.799,169.0,0.0,0.0
-226.4,-299.9,13.079,165.0,0.0,0.0
-226.5,-288.3,13.26,160.0,0.17,0.0
-227.7,-279.7,13.539,159.0,0.38,0.0
-231.7,-266.0,13.859,161.0,0.57,0.0
-236.2,-256.2,14.099,165.0,0.54,0.0
-243.3,-244.3,14.319,165.0,0.54,0.0
-252.2,-232.5,14.719,167.0,0.15,0.0
-257.0,-226.8,14.879,163.0,0.0,1.0
-262.7,-219.8,15.079,157.0,0.0,1.0
-271.8,-205.6,15.379,141.0,0.0,1.0
-273.6,-200.6,15.639,139.0,0.0,0.0
-274.8,-190.5,15.92,134.0,0.27,0.0
-273.9,-183.9,16.099,135.0,0.54,0.0
-272.2,-177.4,16.279,135.0,0.54,0.0
-268.3,-168.0,16.539,139.0,0.69,0.0
-264.1,-160.2,16.72,143.0,0.74,0.0
-259.7,-153.4,16.879,149.0,0.82,0.0
-255.1,-147.1,17.059,159.0,0.96,0.0
-244.4,-134.4,17.419,168.0,1.0,0.0
-238.5,-127.9,17.6,181.0,1.0,0.0
-233.0,-121.9,17.76,184.0,1.0,0.0
-227.4,-115.6,17.919,191.0,1.0,0.0
-220.7,-107.2,18.12,197.0,1.0,0.0
-209.7,-91.6,18.34,207.0,1.0,0.0
-199.9,-77.1,18.779,206.0,0.0,1.0
-192.8,-67.2,19.0,186.0,0.0,1.0
-183.1,-54.6,19.28,170.0,0.0,1.0
-171.2,-40.2,19.639,135.0,0.0,1.0
-166.9,-35.4,19.96,131.0,0.0,1.0
-162.1,-30.1,20.178,119.0,0.0,1.0
-158.0,-26.1,20.379,103.0,0.0,1.0
